"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.0689172717210273,-0.133731143534293,-0.00527396722202046,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent:sampleAreaWara.D",-0.117242928899218,-0.185926577438014,-0.0497682586682362,0.95,"median","qi","Sample Area",FALSE,NA
"3","b_sampleAreaWara.D",-0.131240802115013,-0.189791026592919,-0.0689658043671761,0.95,"median","qi","Era x Sample Area",FALSE,NA
"4","b_erapresent",-0.0689172717210273,-0.113826828343015,-0.0271976174118823,0.8,"median","qi","Era",FALSE,NA
"5","b_erapresent:sampleAreaWara.D",-0.117242928899218,-0.162295729404584,-0.0708757437014034,0.8,"median","qi","Sample Area",FALSE,NA
"6","b_sampleAreaWara.D",-0.131240802115013,-0.171101297910282,-0.0909510440997807,0.8,"median","qi","Era x Sample Area",FALSE,NA
"7","b_erapresent",-0.0697022931949638,-0.134645521443593,-0.00367813899827557,0.95,"median","qi","Era",TRUE,0
"8","b_erapresent:sampleAreaWara.D",-0.114653911610119,-0.183809546253471,-0.0479030410811016,0.95,"median","qi","Sample Area",TRUE,0
"9","b_sampleAreaWara.D",-0.131746626696425,-0.191244350995949,-0.0692714566408743,0.95,"median","qi","Era x Sample Area",TRUE,0
"10","b_erapresent",-0.0697022931949638,-0.112702142881595,-0.0282728206548791,0.8,"median","qi","Era",TRUE,0
"11","b_erapresent:sampleAreaWara.D",-0.114653911610119,-0.157816430630447,-0.069122324613978,0.8,"median","qi","Sample Area",TRUE,0
"12","b_sampleAreaWara.D",-0.131746626696425,-0.170679900123705,-0.0931685242264362,0.8,"median","qi","Era x Sample Area",TRUE,0
"13","b_erapresent",-0.103756188032741,-0.150075158989754,-0.0590276614803725,0.95,"median","qi","Era",TRUE,0.1
"14","b_erapresent:sampleAreaWara.D",-0.0952918687160962,-0.142350468874049,-0.0455668946387652,0.95,"median","qi","Sample Area",TRUE,0.1
"15","b_sampleAreaWara.D",-0.0838229800674329,-0.124971401203452,-0.041726540999899,0.95,"median","qi","Era x Sample Area",TRUE,0.1
"16","b_erapresent",-0.103756188032741,-0.133126034779026,-0.0752497858850657,0.8,"median","qi","Era",TRUE,0.1
"17","b_erapresent:sampleAreaWara.D",-0.0952918687160962,-0.124844692830521,-0.0639457422219166,0.8,"median","qi","Sample Area",TRUE,0.1
"18","b_sampleAreaWara.D",-0.0838229800674329,-0.110740725322829,-0.0562748189266067,0.8,"median","qi","Era x Sample Area",TRUE,0.1
"19","b_erapresent",-0.108583314202519,-0.150693951856561,-0.0709997286125634,0.95,"median","qi","Era",TRUE,0.15
"20","b_erapresent:sampleAreaWara.D",-0.103838198217724,-0.144617239104712,-0.0588665791651253,0.95,"median","qi","Sample Area",TRUE,0.15
"21","b_sampleAreaWara.D",-0.0554643712759383,-0.0943123509907505,-0.0192081744642105,0.95,"median","qi","Era x Sample Area",TRUE,0.15
"22","b_erapresent",-0.108583314202519,-0.136293660612884,-0.0825340635048897,0.8,"median","qi","Era",TRUE,0.15
"23","b_erapresent:sampleAreaWara.D",-0.103838198217724,-0.131494296000411,-0.0743772645831812,0.8,"median","qi","Sample Area",TRUE,0.15
"24","b_sampleAreaWara.D",-0.0554643712759383,-0.0811223034130642,-0.0306854146936917,0.8,"median","qi","Era x Sample Area",TRUE,0.15
"25","b_erapresent",-0.117494527047887,-0.156829561388226,-0.0815685359057887,0.95,"median","qi","Era",TRUE,0.2
"26","b_erapresent:sampleAreaWara.D",-0.101287739946339,-0.139731483161451,-0.0592565687060885,0.95,"median","qi","Sample Area",TRUE,0.2
