"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","era_B",-0.0689172717210273,-0.133731143534293,-0.00527396722202046,0.95,"median","qi","era_B",FALSE,NA
"2","era_D",-0.187287248263546,-0.20921418886647,-0.165191159572875,0.95,"median","qi","era_D",FALSE,NA
"3","era_B",-0.0689172717210273,-0.113826828343015,-0.0271976174118823,0.8,"median","qi","era_B",FALSE,NA
"4","era_D",-0.187287248263546,-0.201881815001187,-0.172742104055593,0.8,"median","qi","era_D",FALSE,NA
"5","era_B",-0.0697022931949638,-0.134645521443593,-0.00367813899827557,0.95,"median","qi","era_B",TRUE,0
"6","era_D",-0.184450718466455,-0.206205589625555,-0.163197098485284,0.95,"median","qi","era_D",TRUE,0
"7","era_B",-0.0697022931949638,-0.112702142881595,-0.0282728206548791,0.8,"median","qi","era_B",TRUE,0
"8","era_D",-0.184450718466455,-0.198587497111161,-0.170463825437331,0.8,"median","qi","era_D",TRUE,0
"9","era_B",-0.103756188032741,-0.150075158989754,-0.0590276614803725,0.95,"median","qi","era_B",TRUE,0.1
"10","era_D",-0.198727784739719,-0.214325342808175,-0.183303969019334,0.95,"median","qi","era_D",TRUE,0.1
"11","era_B",-0.103756188032741,-0.133126034779026,-0.0752497858850657,0.8,"median","qi","era_B",TRUE,0.1
"12","era_D",-0.198727784739719,-0.209110386218072,-0.188614784000745,0.8,"median","qi","era_D",TRUE,0.1
"13","era_B",-0.108583314202519,-0.150693951856561,-0.0709997286125634,0.95,"median","qi","era_B",TRUE,0.15
"14","era_D",-0.212517892088199,-0.22686151726122,-0.198427297273812,0.95,"median","qi","era_D",TRUE,0.15
"15","era_B",-0.108583314202519,-0.136293660612884,-0.0825340635048897,0.8,"median","qi","era_B",TRUE,0.15
"16","era_D",-0.212517892088199,-0.222103405945955,-0.20303028297491,0.8,"median","qi","era_D",TRUE,0.15
"17","era_B",-0.117494527047887,-0.156829561388226,-0.0815685359057887,0.95,"median","qi","era_B",TRUE,0.2
"18","era_D",-0.218859880355843,-0.232347983637754,-0.204923735925399,0.95,"median","qi","era_D",TRUE,0.2
"19","era_B",-0.117494527047887,-0.142459010728312,-0.0931362311165577,0.8,"median","qi","era_B",TRUE,0.2
"20","era_D",-0.218859880355843,-0.227771128616272,-0.209961106556064,0.8,"median","qi","era_D",TRUE,0.2
"21","era_B",-0.12689717517291,-0.160389401913961,-0.0909380289279235,0.95,"median","qi","era_B",TRUE,0.25
"22","era_D",-0.181296922492155,-0.195015824463847,-0.16794114569337,0.95,"median","qi","era_D",TRUE,0.25
"23","era_B",-0.12689717517291,-0.149033026298873,-0.104094211274283,0.8,"median","qi","era_B",TRUE,0.25
"24","era_D",-0.181296922492155,-0.190154508464037,-0.172734965060094,0.8,"median","qi","era_D",TRUE,0.25
"25","era_B",-0.128460900731442,-0.160042182367521,-0.0964382798508152,0.95,"median","qi","era_B",TRUE,0.3
"26","era_D",-0.14566041959727,-0.158637017587373,-0.132676405820574,0.95,"median","qi","era_D",TRUE,0.3
"27","era_B",-0.128460900731442,-0.148976481085353,-0.108010976742599,0.8,"median","qi","era_B",TRUE,0.3
"28","era_D",-0.14566041959727,-0.154293782764679,-0.137368055076764,0.8,"median","qi","era_D",TRUE,0.3
"29","era_B",-0.138213868983135,-0.168738221827254,-0.107757496401439,0.95,"median","qi","era_B",TRUE,0.35
"30","era_D",-0.126041935941406,-0.138519504697354,-0.11350443835937,0.95,"median","qi","era_D",TRUE,0.35
"31","era_B",-0.138213868983135,-0.157812212050976,-0.118070189839461,0.8,"median","qi","era_B",TRUE,0.35
"32","era_D",-0.126041935941406,-0.13417261959232,-0.11804669549373,0.8,"median","qi","era_D",TRUE,0.35
"33","era_B",-0.147359144434883,-0.176686068002922,-0.120022648275159,0.95,"median","qi","era_B",TRUE,0.4
"34","era_D",-0.118832515394829,-0.13042231377036,-0.10602676946243,0.95,"median","qi","era_D",TRUE,0.4
"35","era_B",-0.147359144434883,-0.16650876859374,-0.12915773833554,0.8,"median","qi","era_B",TRUE,0.4
"36","era_D",-0.118832515394829,-0.126722927096816,-0.110784495506198,0.8,"median","qi","era_D",TRUE,0.4
"37","era_B",-0.144056294893449,-0.172844309618089,-0.11566754670563,0.95,"median","qi","era_B",TRUE,0.45
"38","era_D",-0.110249470886126,-0.122098300112829,-0.0981728633415427,0.95,"median","qi","era_D",TRUE,0.45
"39","era_B",-0.144056294893449,-0.162779319463927,-0.125640757021567,0.8,"median","qi","era_B",TRUE,0.45
"40","era_D",-0.110249470886126,-0.118037254465343,-0.102547267563959,0.8,"median","qi","era_D",TRUE,0.45
"41","era_B",-0.0878801231341898,-0.13721282344863,-0.0367371293497042,0.95,"median","qi","era_B",TRUE,0.05
"42","era_D",-0.188287736856018,-0.206172854448923,-0.171151407988005,0.95,"median","qi","era_D",TRUE,0.05
"43","era_B",-0.0878801231341898,-0.12045967350594,-0.0552416042995326,0.8,"median","qi","era_B",TRUE,0.05
"44","era_D",-0.188287736856018,-0.200237996634542,-0.176778250096242,0.8,"median","qi","era_D",TRUE,0.05
"45","era_B",-0.130288665106553,-0.158788087074586,-0.101021477594464,0.95,"median","qi","era_B",TRUE,0.5
"46","era_D",-0.107648791815481,-0.119358637077491,-0.0963614325505309,0.95,"median","qi","era_D",TRUE,0.5
"47","era_B",-0.130288665106553,-0.149174900020201,-0.11100471287502,0.8,"median","qi","era_B",TRUE,0.5
"48","era_D",-0.107648791815481,-0.115170589093178,-0.100147768505253,0.8,"median","qi","era_D",TRUE,0.5
