"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.320569844562511,1282.27937825004,FALSE,NA
"2","b_erapresent",0.281686211637914,1126.74484655166,FALSE,NA
"3","b_sampleAreaWara.D",0.319738934459639,1278.95573783855,FALSE,NA
"4","b_erapresent:sampleAreaWara.D",0.284215327963873,1136.86131185549,FALSE,NA
"5","sigma",0.514265859372329,2057.06343748932,FALSE,NA
"6","lp__",0.377457282841435,1509.82913136574,FALSE,NA
"7","b_Intercept",0.299266191295365,1197.06476518146,TRUE,0
"8","b_erapresent",0.290621551150002,1162.48620460001,TRUE,0
"9","b_sampleAreaWara.D",0.292318355259737,1169.27342103895,TRUE,0
"10","b_erapresent:sampleAreaWara.D",0.279211664185244,1116.84665674098,TRUE,0
"11","sigma",0.519056712178832,2076.22684871533,TRUE,0
"12","lp__",0.358975473374274,1435.9018934971,TRUE,0
"13","b_Intercept",0.253025833729846,1012.10333491938,TRUE,0.1
"14","b_erapresent",0.228095692787242,912.382771148967,TRUE,0.1
"15","b_sampleAreaWara.D",0.236696708015999,946.786832063994,TRUE,0.1
"16","b_erapresent:sampleAreaWara.D",0.218068956918707,872.275827674829,TRUE,0.1
"17","sigma",0.561583124122467,2246.33249648987,TRUE,0.1
"18","lp__",0.371110120390076,1484.4404815603,TRUE,0.1
"19","b_Intercept",0.265207806752229,1060.83122700891,TRUE,0.15
"20","b_erapresent",0.250850852186569,1003.40340874628,TRUE,0.15
"21","b_sampleAreaWara.D",0.25337124264526,1013.48497058104,TRUE,0.15
"22","b_erapresent:sampleAreaWara.D",0.236614956763486,946.459827053942,TRUE,0.15
"23","sigma",0.480833352353342,1923.33340941337,TRUE,0.15
"24","lp__",0.388434967651781,1553.73987060712,TRUE,0.15
"25","b_Intercept",0.272242585834339,1088.97034333735,TRUE,0.2
"26","b_erapresent",0.252391263061373,1009.56505224549,TRUE,0.2
"27","b_sampleAreaWara.D",0.261360182172933,1045.44072869173,TRUE,0.2
"28","b_erapresent:sampleAreaWara.D",0.239893089181837,959.572356727347,TRUE,0.2
"29","sigma",0.456790562652701,1827.1622506108,TRUE,0.2
"30","lp__",0.331656710365716,1326.62684146286,TRUE,0.2
"31","b_Intercept",0.285484466954608,1141.93786781843,TRUE,0.25
"32","b_erapresent",0.267677028406553,1070.70811362621,TRUE,0.25
"33","b_sampleAreaWara.D",0.273714526847751,1094.85810739101,TRUE,0.25
"34","b_erapresent:sampleAreaWara.D",0.252569638435641,1010.27855374256,TRUE,0.25
"35","sigma",0.496917360343993,1987.66944137597,TRUE,0.25
"36","lp__",0.360311182175734,1441.24472870294,TRUE,0.25
"37","b_Intercept",0.346196361466458,1384.78544586583,TRUE,0.3
"38","b_erapresent",0.308937101784823,1235.74840713929,TRUE,0.3
"39","b_sampleAreaWara.D",0.313703932325,1254.8157293,TRUE,0.3
"40","b_erapresent:sampleAreaWara.D",0.28453478708955,1138.1391483582,TRUE,0.3
"41","sigma",0.48398249333409,1935.92997333636,TRUE,0.3
"42","lp__",0.343374877959536,1373.49951183814,TRUE,0.3
"43","b_Intercept",0.295476310018955,1181.90524007582,TRUE,0.35
"44","b_erapresent",0.269312784881239,1077.25113952496,TRUE,0.35
"45","b_sampleAreaWara.D",0.298616295543097,1194.46518217239,TRUE,0.35
"46","b_erapresent:sampleAreaWara.D",0.256564883949376,1026.25953579751,TRUE,0.35
"47","sigma",0.434860117090765,1739.44046836306,TRUE,0.35
"48","lp__",0.338489576265055,1353.95830506022,TRUE,0.35
"49","b_Intercept",0.316768803985831,1267.07521594332,TRUE,0.4
"50","b_erapresent",0.29556414118153,1182.25656472612,TRUE,0.4
"51","b_sampleAreaWara.D",0.311438517078737,1245.75406831495,TRUE,0.4
"52","b_erapresent:sampleAreaWara.D",0.285170192803144,1140.68077121258,TRUE,0.4
"53","sigma",0.441739783192581,1766.95913277033,TRUE,0.4
"54","lp__",0.377890457921588,1511.56183168635,TRUE,0.4
"55","b_Intercept",0.322769623172142,1291.07849268857,TRUE,0.45
"56","b_erapresent",0.283884182066489,1135.53672826596,TRUE,0.45
"57","b_sampleAreaWara.D",0.313687927187976,1254.7517087519,TRUE,0.45
"58","b_erapresent:sampleAreaWara.D",0.277689781192257,1110.75912476903,TRUE,0.45
"59","sigma",0.499705509127784,1998.82203651114,TRUE,0.45
"60","lp__",0.389161795454481,1556.64718181792,TRUE,0.45
"61","b_Intercept",0.324506544073482,1298.02617629393,TRUE,0.05
"62","b_erapresent",0.298828273676525,1195.3130947061,TRUE,0.05
"63","b_sampleAreaWara.D",0.310754475795237,1243.01790318095,TRUE,0.05
"64","b_erapresent:sampleAreaWara.D",0.287578376918203,1150.31350767281,TRUE,0.05
"65","sigma",0.547386047018521,2189.54418807408,TRUE,0.05
"66","lp__",0.371205404293363,1484.82161717345,TRUE,0.05
"67","b_Intercept",0.322141429884902,1288.56571953961,TRUE,0.5
"68","b_erapresent",0.293991480868656,1175.96592347462,TRUE,0.5
"69","b_sampleAreaWara.D",0.317497787896101,1269.9911515844,TRUE,0.5
"70","b_erapresent:sampleAreaWara.D",0.286841314063699,1147.36525625479,TRUE,0.5
"71","sigma",0.551194207084017,2204.77682833607,TRUE,0.5
"72","lp__",0.370165107952911,1480.66043181164,TRUE,0.5
