"",".variable","rhat","truncate","quantile"
"1","b_Intercept",1.00362085170275,FALSE,NA
"2","b_erapresent",1.00493114396545,FALSE,NA
"3","b_sampleAreaWara.D",1.00465842627638,FALSE,NA
"4","b_erapresent:sampleAreaWara.D",1.00560522153385,FALSE,NA
"5","sigma",1.00099680175871,FALSE,NA
"6","lp__",1.00075760085316,FALSE,NA
"7","b_Intercept",1.0005841480855,TRUE,0
"8","b_erapresent",1.00049228456679,TRUE,0
"9","b_sampleAreaWara.D",1.00075345660146,TRUE,0
"10","b_erapresent:sampleAreaWara.D",1.0007668381826,TRUE,0
"11","sigma",1.00118212283666,TRUE,0
"12","lp__",1.00334810738665,TRUE,0
"13","b_Intercept",1.00338212722532,TRUE,0.1
"14","b_erapresent",1.00295236328553,TRUE,0.1
"15","b_sampleAreaWara.D",1.00317805066786,TRUE,0.1
"16","b_erapresent:sampleAreaWara.D",1.00274170441472,TRUE,0.1
"17","sigma",0.999830124404349,TRUE,0.1
"18","lp__",0.999654390979522,TRUE,0.1
"19","b_Intercept",1.00108208052261,TRUE,0.15
"20","b_erapresent",1.0008088563018,TRUE,0.15
"21","b_sampleAreaWara.D",1.00088156041848,TRUE,0.15
"22","b_erapresent:sampleAreaWara.D",1.00072105128337,TRUE,0.15
"23","sigma",1.00029176542924,TRUE,0.15
"24","lp__",1.00107150317812,TRUE,0.15
"25","b_Intercept",1.00265734078328,TRUE,0.2
"26","b_erapresent",1.00373160055903,TRUE,0.2
"27","b_sampleAreaWara.D",1.00277002480998,TRUE,0.2
"28","b_erapresent:sampleAreaWara.D",1.0037429736346,TRUE,0.2
"29","sigma",1.00053226925718,TRUE,0.2
"30","lp__",1.00301540284831,TRUE,0.2
"31","b_Intercept",1.00373280828485,TRUE,0.25
"32","b_erapresent",1.00434676903485,TRUE,0.25
"33","b_sampleAreaWara.D",1.00383604115938,TRUE,0.25
"34","b_erapresent:sampleAreaWara.D",1.0047716732079,TRUE,0.25
"35","sigma",1.0006582528588,TRUE,0.25
"36","lp__",1.00619375804888,TRUE,0.25
"37","b_Intercept",1.00365536437017,TRUE,0.3
"38","b_erapresent",1.00339159228733,TRUE,0.3
"39","b_sampleAreaWara.D",1.00493841268125,TRUE,0.3
"40","b_erapresent:sampleAreaWara.D",1.00386570047199,TRUE,0.3
"41","sigma",1.00031038634888,TRUE,0.3
"42","lp__",1.00111404404498,TRUE,0.3
"43","b_Intercept",1.00051231639327,TRUE,0.35
"44","b_erapresent",1.00044155248365,TRUE,0.35
"45","b_sampleAreaWara.D",1.00022280626601,TRUE,0.35
"46","b_erapresent:sampleAreaWara.D",1.00037985459577,TRUE,0.35
"47","sigma",1.00178884011726,TRUE,0.35
"48","lp__",1.0001730325803,TRUE,0.35
"49","b_Intercept",1.00171408991097,TRUE,0.4
"50","b_erapresent",1.00111061860471,TRUE,0.4
"51","b_sampleAreaWara.D",1.00148871317327,TRUE,0.4
"52","b_erapresent:sampleAreaWara.D",1.00166218754211,TRUE,0.4
"53","sigma",1.00153830566902,TRUE,0.4
"54","lp__",0.999935968646806,TRUE,0.4
"55","b_Intercept",1.00385809000113,TRUE,0.45
"56","b_erapresent",1.00487104832602,TRUE,0.45
"57","b_sampleAreaWara.D",1.00395518053069,TRUE,0.45
"58","b_erapresent:sampleAreaWara.D",1.00530613125875,TRUE,0.45
"59","sigma",1.00021960400995,TRUE,0.45
"60","lp__",1.00336551863757,TRUE,0.45
"61","b_Intercept",1.00141665869429,TRUE,0.05
"62","b_erapresent",1.00233527372554,TRUE,0.05
"63","b_sampleAreaWara.D",1.00094104090425,TRUE,0.05
"64","b_erapresent:sampleAreaWara.D",1.00201261567175,TRUE,0.05
"65","sigma",1.00116233432318,TRUE,0.05
"66","lp__",1.00219490868653,TRUE,0.05
"67","b_Intercept",1.00024051339651,TRUE,0.5
"68","b_erapresent",1.00068615024623,TRUE,0.5
"69","b_sampleAreaWara.D",1.00011904579292,TRUE,0.5
"70","b_erapresent:sampleAreaWara.D",1.00091079770224,TRUE,0.5
"71","sigma",0.999877985014814,TRUE,0.5
"72","lp__",1.00029177768447,TRUE,0.5
