"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.34611556024284,1384.46224097136,FALSE,NA
"2","b_erapresent",0.350777468523333,1403.10987409333,FALSE,NA
"3","sd_sampleUnit__Intercept",0.302907232778147,1211.62893111259,FALSE,NA
"4","sigma",0.573849290950032,2295.39716380013,FALSE,NA
"5","nu",0.519349339453969,2077.39735781588,FALSE,NA
"6","r_sampleUnit[HighRock_zoneA,Intercept]",0.353321254215241,1413.28501686096,FALSE,NA
"7","r_sampleUnit[HighRock_zoneB,Intercept]",0.348379027201258,1393.51610880503,FALSE,NA
"8","r_sampleUnit[HighRock_zoneC,Intercept]",0.349649025537827,1398.59610215131,FALSE,NA
"9","r_sampleUnit[HighRock_zoneD,Intercept]",0.366174359935439,1464.69743974176,FALSE,NA
"10","r_sampleUnit[zoneA_area1,Intercept]",0.329170033094871,1316.68013237948,FALSE,NA
"11","r_sampleUnit[zoneA_area2,Intercept]",0.389769946643959,1559.07978657583,FALSE,NA
"12","r_sampleUnit[zoneA_area3,Intercept]",0.323945608165341,1295.78243266136,FALSE,NA
"13","r_sampleUnit[zoneB_area1,Intercept]",0.362332292525442,1449.32917010177,FALSE,NA
"14","r_sampleUnit[zoneB_area2,Intercept]",0.41158936038622,1646.35744154488,FALSE,NA
"15","r_sampleUnit[zoneC_area1,Intercept]",0.35326871303089,1413.07485212356,FALSE,NA
"16","r_sampleUnit[zoneC_area2,Intercept]",0.35343021037619,1413.72084150476,FALSE,NA
"17","r_sampleUnit[zoneD_area1,Intercept]",0.348023339601382,1392.09335840553,FALSE,NA
"18","lp__",0.232326914601943,929.307658407774,FALSE,NA
"19","b_Intercept",0.395897890746168,1583.59156298467,TRUE,0
"20","b_erapresent",0.425393718437388,1701.57487374955,TRUE,0
"21","sd_sampleUnit__Intercept",0.324387208636306,1297.54883454522,TRUE,0
"22","sigma",0.662770593297539,2651.08237319016,TRUE,0
"23","nu",0.669244809004642,2676.97923601857,TRUE,0
"24","r_sampleUnit[HighRock_zoneA,Intercept]",0.401269897573787,1605.07959029515,TRUE,0
"25","r_sampleUnit[HighRock_zoneB,Intercept]",0.39393120430521,1575.72481722084,TRUE,0
"26","r_sampleUnit[HighRock_zoneC,Intercept]",0.398066340935068,1592.26536374027,TRUE,0
"27","r_sampleUnit[HighRock_zoneD,Intercept]",0.404271603501989,1617.08641400796,TRUE,0
"28","r_sampleUnit[zoneA_area1,Intercept]",0.38818806685585,1552.7522674234,TRUE,0
"29","r_sampleUnit[zoneA_area2,Intercept]",0.416309208414615,1665.23683365846,TRUE,0
"30","r_sampleUnit[zoneA_area3,Intercept]",0.383710935305388,1534.84374122155,TRUE,0
"31","r_sampleUnit[zoneB_area1,Intercept]",0.39745752765396,1589.83011061584,TRUE,0
"32","r_sampleUnit[zoneB_area2,Intercept]",0.397191157747529,1588.76463099011,TRUE,0
"33","r_sampleUnit[zoneC_area1,Intercept]",0.397220678253628,1588.88271301451,TRUE,0
"34","r_sampleUnit[zoneC_area2,Intercept]",0.423599770803788,1694.39908321515,TRUE,0
"35","r_sampleUnit[zoneD_area1,Intercept]",0.376361249831239,1505.44499932495,TRUE,0
"36","lp__",0.278926721884839,1115.70688753936,TRUE,0
"37","b_Intercept",0.395486809451501,1581.94723780601,TRUE,0.1
"38","b_erapresent",0.359091135706414,1436.36454282566,TRUE,0.1
"39","sd_sampleUnit__Intercept",0.261245351974651,1044.9814078986,TRUE,0.1
"40","sigma",0.539769606247007,2159.07842498803,TRUE,0.1
"41","nu",0.597006453901594,2388.02581560638,TRUE,0.1
"42","r_sampleUnit[HighRock_zoneA,Intercept]",0.399976698816898,1599.90679526759,TRUE,0.1
"43","r_sampleUnit[HighRock_zoneB,Intercept]",0.398211714553451,1592.8468582138,TRUE,0.1
"44","r_sampleUnit[HighRock_zoneC,Intercept]",0.394875742958828,1579.50297183531,TRUE,0.1
"45","r_sampleUnit[HighRock_zoneD,Intercept]",0.410481317556311,1641.92527022525,TRUE,0.1
"46","r_sampleUnit[zoneA_area1,Intercept]",0.440147255842343,1760.58902336937,TRUE,0.1
"47","r_sampleUnit[zoneA_area2,Intercept]",0.446831923636665,1787.32769454666,TRUE,0.1
"48","r_sampleUnit[zoneA_area3,Intercept]",0.426975570228162,1707.90228091265,TRUE,0.1
"49","r_sampleUnit[zoneB_area1,Intercept]",0.438469228716017,1753.87691486407,TRUE,0.1
"50","r_sampleUnit[zoneB_area2,Intercept]",0.43675477866321,1747.01911465284,TRUE,0.1
"51","r_sampleUnit[zoneC_area1,Intercept]",0.421996944287957,1687.98777715183,TRUE,0.1
"52","r_sampleUnit[zoneC_area2,Intercept]",0.468775186334057,1875.10074533623,TRUE,0.1
"53","r_sampleUnit[zoneD_area1,Intercept]",0.431123300345383,1724.49320138153,TRUE,0.1
"54","lp__",0.217939780379646,871.759121518582,TRUE,0.1
"55","b_Intercept",0.287760965924754,1151.04386369902,TRUE,0.15
"56","b_erapresent",0.312035482082784,1248.14192833113,TRUE,0.15
"57","sd_sampleUnit__Intercept",0.24180477503477,967.21910013908,TRUE,0.15
"58","sigma",0.695131997636792,2780.52799054717,TRUE,0.15
"59","nu",0.700715829265808,2802.86331706323,TRUE,0.15
"60","r_sampleUnit[HighRock_zoneA,Intercept]",0.288005264151279,1152.02105660512,TRUE,0.15
"61","r_sampleUnit[HighRock_zoneB,Intercept]",0.289909600252982,1159.63840101193,TRUE,0.15
"62","r_sampleUnit[HighRock_zoneC,Intercept]",0.292812564090689,1171.25025636276,TRUE,0.15
