"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.370010895365204,-0.827052757133306,0.142965958051995,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent:x2z",-0.0783932592010583,-0.505196460433718,0.351829352213976,0.95,"median","qi","Era x Density",FALSE,NA
"3","b_erapresent:x3z",0.035421140921823,-0.383559547466603,0.436596197795772,0.95,"median","qi","Era x Tidal height",FALSE,NA
"4","b_x2z",-0.0348819105602474,-0.411965889934656,0.325175928892899,0.95,"median","qi","Density",FALSE,NA
"5","b_x3z",0.0868104782562159,-0.253587069941337,0.440877755033201,0.95,"median","qi","Tidal height",FALSE,NA
"6","b_erapresent",-0.370010895365204,-0.643823358878016,-0.075603727782683,0.8,"median","qi","Era",FALSE,NA
"7","b_erapresent:x2z",-0.0783932592010583,-0.345322085346435,0.174045005850571,0.8,"median","qi","Era x Density",FALSE,NA
"8","b_erapresent:x3z",0.035421140921823,-0.197975775906745,0.271438487560411,0.8,"median","qi","Era x Tidal height",FALSE,NA
"9","b_x2z",-0.0348819105602474,-0.251900741478249,0.182792775230172,0.8,"median","qi","Density",FALSE,NA
"10","b_x3z",0.0868104782562159,-0.116694554435869,0.295075933728749,0.8,"median","qi","Tidal height",FALSE,NA
"11","b_erapresent",-0.345573810303253,-0.787028702226711,0.115860235467331,0.95,"median","qi","Era",TRUE,0
"12","b_erapresent:x2z",-0.105960915248929,-0.51714019369328,0.313443266923864,0.95,"median","qi","Era x Density",TRUE,0
"13","b_erapresent:x3z",0.0328430471730087,-0.370019759690396,0.405246866432517,0.95,"median","qi","Era x Tidal height",TRUE,0
"14","b_x2z",-0.0361419971917169,-0.382091053297224,0.313846351803478,0.95,"median","qi","Density",TRUE,0
"15","b_x3z",0.0839955163741179,-0.236257066352996,0.431368463949988,0.95,"median","qi","Tidal height",TRUE,0
"16","b_erapresent",-0.345573810303253,-0.622056670435037,-0.0747209739467314,0.8,"median","qi","Era",TRUE,0
"17","b_erapresent:x2z",-0.105960915248929,-0.346302405992871,0.14138781277188,0.8,"median","qi","Era x Density",TRUE,0
"18","b_erapresent:x3z",0.0328430471730087,-0.205165517057042,0.269344726098318,0.8,"median","qi","Era x Tidal height",TRUE,0
"19","b_x2z",-0.0361419971917169,-0.251728234025463,0.172244357819506,0.8,"median","qi","Density",TRUE,0
"20","b_x3z",0.0839955163741179,-0.113788726700613,0.28880307470939,0.8,"median","qi","Tidal height",TRUE,0
"21","b_erapresent",-0.0731033042688585,-0.299074076534149,0.158676074165455,0.95,"median","qi","Era",TRUE,0.1
"22","b_erapresent:x2z",0.0167430158157797,-0.21033517913896,0.232027747517537,0.95,"median","qi","Era x Density",TRUE,0.1
"23","b_erapresent:x3z",0.110490649825608,-0.10536621800272,0.308040842262395,0.95,"median","qi","Era x Tidal height",TRUE,0.1
"24","b_x2z",-0.0624178342675795,-0.242622160321425,0.127329877821794,0.95,"median","qi","Density",TRUE,0.1
"25","b_x3z",0.0249066344934928,-0.151280373226201,0.203073263414852,0.95,"median","qi","Tidal height",TRUE,0.1
"26","b_erapresent",-0.0731033042688585,-0.208576946680857,0.0598619851502901,0.8,"median","qi","Era",TRUE,0.1
"27","b_erapresent:x2z",0.0167430158157797,-0.113688618919337,0.139649662291351,0.8,"median","qi","Era x Density",TRUE,0.1
"28","b_erapresent:x3z",0.110490649825608,-0.00975075940001275,0.221067558217885,0.8,"median","qi","Era x Tidal height",TRUE,0.1
"29","b_x2z",-0.0624178342675795,-0.168110406014258,0.0501767002274851,0.8,"median","qi","Density",TRUE,0.1
"30","b_x3z",0.0249066344934928,-0.0743529841279564,0.125626801473806,0.8,"median","qi","Tidal height",TRUE,0.1
"31","b_erapresent",0.0512700618140726,-0.153070188306538,0.23622665384009,0.95,"median","qi","Era",TRUE,0.15
"32","b_erapresent:x2z",0.0515869226698855,-0.154491729062334,0.22979389640137,0.95,"median","qi","Era x Density",TRUE,0.15
"33","b_erapresent:x3z",0.0999361149817973,-0.0846623362237221,0.265906584765217,0.95,"median","qi","Era x Tidal height",TRUE,0.15
"34","b_x2z",-0.0520912739837355,-0.204621969677014,0.109795716893353,0.95,"median","qi","Density",TRUE,0.15
"35","b_x3z",0.027616788306161,-0.114544850216976,0.182727021163547,0.95,"median","qi","Tidal height",TRUE,0.15
"36","b_erapresent",0.0512700618140726,-0.066948643491992,0.160251392693275,0.8,"median","qi","Era",TRUE,0.15
"37","b_erapresent:x2z",0.0515869226698855,-0.0573848091756195,0.151563111198153,0.8,"median","qi","Era x Density",TRUE,0.15
"38","b_erapresent:x3z",0.0999361149817973,0.00444365811683846,0.194527891491874,0.8,"median","qi","Era x Tidal height",TRUE,0.15
"39","b_x2z",-0.0520912739837355,-0.138554510946557,0.0395615167472683,0.8,"median","qi","Density",TRUE,0.15
"40","b_x3z",0.027616788306161,-0.0544894432542688,0.110685640414195,0.8,"median","qi","Tidal height",TRUE,0.15
"41","b_erapresent",0.108808643126867,-0.0566005121904814,0.264755650964918,0.95,"median","qi","Era",TRUE,0.2
"42","b_erapresent:x2z",0.0692803906663342,-0.0886712954375728,0.203625482972724,0.95,"median","qi","Era x Density",TRUE,0.2
"43","b_erapresent:x3z",0.0988015060366157,-0.0390014279193784,0.228497049922039,0.95,"median","qi","Era x Tidal height",TRUE,0.2
"44","b_x2z",-0.0554262695342155,-0.167163806345844,0.0802315503811251,0.95,"median","qi","Density",TRUE,0.2
"45","b_x3z",0.0160890188439249,-0.0921470111752159,0.133309195710474,0.95,"median","qi","Tidal height",TRUE,0.2
"46","b_erapresent",0.108808643126867,0.0183214753346128,0.196232198495954,0.8,"median","qi","Era",TRUE,0.2
"47","b_erapresent:x2z",0.0692803906663342,-0.0137770383565645,0.151725529955579,0.8,"median","qi","Era x Density",TRUE,0.2
"48","b_erapresent:x3z",0.0988015060366157,0.0214113373761163,0.171794324695368,0.8,"median","qi","Era x Tidal height",TRUE,0.2
"49","b_x2z",-0.0554262695342155,-0.123438441773975,0.0141648502305006,0.8,"median","qi","Density",TRUE,0.2
"50","b_x3z",0.0160890188439249,-0.0449316964988851,0.0819285012215871,0.8,"median","qi","Tidal height",TRUE,0.2
"51","b_erapresent",0.117289649180012,-0.0358614531713355,0.256413223511419,0.95,"median","qi","Era",TRUE,0.25
"52","b_erapresent:x2z",0.0720212804085148,-0.0571432780632008,0.203836297858799,0.95,"median","qi","Era x Density",TRUE,0.25
"53","b_erapresent:x3z",0.0968895755731558,-0.041235307791007,0.214932059742168,0.95,"median","qi","Era x Tidal height",TRUE,0.25
"54","b_x2z",-0.05427087710182,-0.16907170375507,0.0684534446205901,0.95,"median","qi","Density",TRUE,0.25
"55","b_x3z",0.016165371035082,-0.0890380846906949,0.118158891429978,0.95,"median","qi","Tidal height",TRUE,0.25
"56","b_erapresent",0.117289649180012,0.0311550885175719,0.195754571302538,0.8,"median","qi","Era",TRUE,0.25
"57","b_erapresent:x2z",0.0720212804085148,-0.00298024212917569,0.147125479827134,0.8,"median","qi","Era x Density",TRUE,0.25
"58","b_erapresent:x3z",0.0968895755731558,0.0257092325672692,0.162934966461576,0.8,"median","qi","Era x Tidal height",TRUE,0.25
"59","b_x2z",-0.05427087710182,-0.118790801450552,0.0103449908625117,0.8,"median","qi","Density",TRUE,0.25
"60","b_x3z",0.016165371035082,-0.0407023802818729,0.0728270559719046,0.8,"median","qi","Tidal height",TRUE,0.25
"61","b_erapresent",0.119121753985492,-0.0372089385206183,0.262477779828105,0.95,"median","qi","Era",TRUE,0.3
"62","b_erapresent:x2z",0.0620480070433035,-0.0806416887705093,0.19536704598452,0.95,"median","qi","Era x Density",TRUE,0.3
"63","b_erapresent:x3z",0.091601923190963,-0.0379403724544215,0.224144337149916,0.95,"median","qi","Era x Tidal height",TRUE,0.3
"64","b_x2z",-0.0499123606787604,-0.167562101701714,0.0743683099883819,0.95,"median","qi","Density",TRUE,0.3
"65","b_x3z",0.0157805579336028,-0.093287583204203,0.129712985358739,0.95,"median","qi","Tidal height",TRUE,0.3
"66","b_erapresent",0.119121753985492,0.0308220121495359,0.205474370575994,0.8,"median","qi","Era",TRUE,0.3
"67","b_erapresent:x2z",0.0620480070433035,-0.0216825325396826,0.141016341281705,0.8,"median","qi","Era x Density",TRUE,0.3
"68","b_erapresent:x3z",0.091601923190963,0.0221354543050274,0.164311561323319,0.8,"median","qi","Era x Tidal height",TRUE,0.3
"69","b_x2z",-0.0499123606787604,-0.114630379630738,0.0174102574037701,0.8,"median","qi","Density",TRUE,0.3
"70","b_x3z",0.0157805579336028,-0.0467953756156466,0.0779566280711317,0.8,"median","qi","Tidal height",TRUE,0.3
"71","b_erapresent",0.125570510761331,-0.0152290808643751,0.263264479060261,0.95,"median","qi","Era",TRUE,0.35
"72","b_erapresent:x2z",0.0596912199671313,-0.0764802715928906,0.188645180674677,0.95,"median","qi","Era x Density",TRUE,0.35
"73","b_erapresent:x3z",0.0888891649505474,-0.030553571749833,0.210618924183214,0.95,"median","qi","Era x Tidal height",TRUE,0.35
"74","b_x2z",-0.0506398499151721,-0.165760478626098,0.0590776561476866,0.95,"median","qi","Density",TRUE,0.35
"75","b_x3z",0.00996564460447049,-0.0917493522774746,0.111477502314594,0.95,"median","qi","Tidal height",TRUE,0.35
"76","b_erapresent",0.125570510761331,0.0454764175371879,0.208501999356408,0.8,"median","qi","Era",TRUE,0.35
"77","b_erapresent:x2z",0.0596912199671313,-0.0151815677750539,0.133729705254961,0.8,"median","qi","Era x Density",TRUE,0.35
"78","b_erapresent:x3z",0.0888891649505474,0.0202906047666652,0.15631246364782,0.8,"median","qi","Era x Tidal height",TRUE,0.35
"79","b_x2z",-0.0506398499151721,-0.110869366230031,0.011917555085765,0.8,"median","qi","Density",TRUE,0.35
"80","b_x3z",0.00996564460447049,-0.0475008627155905,0.0692164255860701,0.8,"median","qi","Tidal height",TRUE,0.35
"81","b_erapresent",0.126762119927267,-0.0167166134955724,0.259688549076238,0.95,"median","qi","Era",TRUE,0.4
"82","b_erapresent:x2z",0.0623623734315876,-0.0895611150373582,0.196963927108959,0.95,"median","qi","Era x Density",TRUE,0.4
"83","b_erapresent:x3z",0.0892371046569174,-0.0422136787104971,0.210713142340875,0.95,"median","qi","Era x Tidal height",TRUE,0.4
"84","b_x2z",-0.0509095214405812,-0.164309321518028,0.0735783769848391,0.95,"median","qi","Density",TRUE,0.4
"85","b_x3z",0.00794990482255364,-0.0972158428599589,0.116166467035364,0.95,"median","qi","Tidal height",TRUE,0.4
"86","b_erapresent",0.126762119927267,0.0460798365932983,0.206978856191717,0.8,"median","qi","Era",TRUE,0.4
"87","b_erapresent:x2z",0.0623623734315876,-0.0218153204010496,0.136943680170132,0.8,"median","qi","Era x Density",TRUE,0.4
"88","b_erapresent:x3z",0.0892371046569174,0.0197827970262449,0.156639417608462,0.8,"median","qi","Era x Tidal height",TRUE,0.4
"89","b_x2z",-0.0509095214405812,-0.115093907000794,0.0210943572313634,0.8,"median","qi","Density",TRUE,0.4
"90","b_x3z",0.00794990482255364,-0.0508009075720886,0.0693388004711443,0.8,"median","qi","Tidal height",TRUE,0.4
"91","b_erapresent",0.126230492234266,-0.01427591556787,0.242135395944934,0.95,"median","qi","Era",TRUE,0.45
"92","b_erapresent:x2z",0.0490054681105109,-0.0687329801763363,0.190977737274541,0.95,"median","qi","Era x Density",TRUE,0.45
"93","b_erapresent:x3z",0.0888018936791611,-0.0172954711802824,0.206360377690394,0.95,"median","qi","Era x Tidal height",TRUE,0.45
"94","b_x2z",-0.04475120376334,-0.156003942399385,0.0577560012877253,0.95,"median","qi","Density",TRUE,0.45
"95","b_x3z",0.00910932846491304,-0.0926196906217263,0.0980500057563361,0.95,"median","qi","Tidal height",TRUE,0.45
"96","b_erapresent",0.126230492234266,0.0496485760433882,0.197181560424447,0.8,"median","qi","Era",TRUE,0.45
"97","b_erapresent:x2z",0.0490054681105109,-0.0213464078522235,0.123690133984537,0.8,"median","qi","Era x Density",TRUE,0.45
"98","b_erapresent:x3z",0.0888018936791611,0.0271691356312612,0.154095067290825,0.8,"median","qi","Era x Tidal height",TRUE,0.45
"99","b_x2z",-0.04475120376334,-0.103999336871414,0.0132920111234657,0.8,"median","qi","Density",TRUE,0.45
"100","b_x3z",0.00910932846491304,-0.0478225975719878,0.0608301464423438,0.8,"median","qi","Tidal height",TRUE,0.45
"101","b_erapresent",-0.222081113383841,-0.607958764905802,0.18089768708132,0.95,"median","qi","Era",TRUE,0.05
"102","b_erapresent:x2z",-0.0527298269719738,-0.432774977588997,0.326532808576225,0.95,"median","qi","Era x Density",TRUE,0.05
"103","b_erapresent:x3z",0.0889425998537096,-0.265408987454435,0.438497304192448,0.95,"median","qi","Era x Tidal height",TRUE,0.05
"104","b_x2z",-0.0523250333064289,-0.365476367758729,0.285714770697807,0.95,"median","qi","Density",TRUE,0.05
"105","b_x3z",0.04750473375536,-0.26014333363809,0.354993514082124,0.95,"median","qi","Tidal height",TRUE,0.05
"106","b_erapresent",-0.222081113383841,-0.44863688043084,0.013838850680262,0.8,"median","qi","Era",TRUE,0.05
"107","b_erapresent:x2z",-0.0527298269719738,-0.276003355446521,0.164187581491404,0.8,"median","qi","Era x Density",TRUE,0.05
"108","b_erapresent:x3z",0.0889425998537096,-0.120298953086113,0.281817788263023,0.8,"median","qi","Era x Tidal height",TRUE,0.05
"109","b_x2z",-0.0523250333064289,-0.229745652910255,0.140696805589251,0.8,"median","qi","Density",TRUE,0.05
"110","b_x3z",0.04750473375536,-0.128565180378479,0.224756635647938,0.8,"median","qi","Tidal height",TRUE,0.05
"111","b_erapresent",0.128491050099461,0.0070562090334947,0.254719565608106,0.95,"median","qi","Era",TRUE,0.5
