"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.352552504420107,-0.397488090784466,-0.305487814965973,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent:x2z",-0.0863262146441306,-0.137903907067881,-0.0328870429583587,0.95,"median","qi","Era x Density",FALSE,NA
"3","b_erapresent:x3z",0.0619457151088293,0.0122339815895675,0.114303610839886,0.95,"median","qi","Era x Tidal height",FALSE,NA
"4","b_x2z",-0.00726336781870743,-0.0507879417511846,0.0361539657478319,0.95,"median","qi","Density",FALSE,NA
"5","b_x3z",0.0800557878497366,0.0491604379876158,0.110987972268322,0.95,"median","qi","Tidal height",FALSE,NA
"6","b_erapresent",-0.352552504420107,-0.381759529004074,-0.32171628555254,0.8,"median","qi","Era",FALSE,NA
"7","b_erapresent:x2z",-0.0863262146441306,-0.120042203865499,-0.0520437300863281,0.8,"median","qi","Era x Density",FALSE,NA
"8","b_erapresent:x3z",0.0619457151088293,0.0286588620160724,0.0956460888279537,0.8,"median","qi","Era x Tidal height",FALSE,NA
"9","b_x2z",-0.00726336781870743,-0.0350352760305624,0.0218020769301505,0.8,"median","qi","Density",FALSE,NA
"10","b_x3z",0.0800557878497366,0.0599489187009188,0.100524240874367,0.8,"median","qi","Tidal height",FALSE,NA
"11","b_erapresent",-0.320666442399924,-0.364099635375126,-0.276776757983246,0.95,"median","qi","Era",TRUE,0
"12","b_erapresent:x2z",-0.10470383324236,-0.155148770612365,-0.0570200836907694,0.95,"median","qi","Era x Density",TRUE,0
"13","b_erapresent:x3z",0.054066277135021,0.00508245740905918,0.104114219145364,0.95,"median","qi","Era x Tidal height",TRUE,0
"14","b_x2z",-0.00698654229194555,-0.0455106732589961,0.0366104403184501,0.95,"median","qi","Density",TRUE,0
"15","b_x3z",0.0810447921084146,0.0519070178425728,0.110361315125015,0.95,"median","qi","Tidal height",TRUE,0
"16","b_erapresent",-0.320666442399924,-0.349747063884404,-0.291447299018001,0.8,"median","qi","Era",TRUE,0
"17","b_erapresent:x2z",-0.10470383324236,-0.136915968762645,-0.0742869118567339,0.8,"median","qi","Era x Density",TRUE,0
"18","b_erapresent:x3z",0.054066277135021,0.0214893476788473,0.0871830957536382,0.8,"median","qi","Era x Tidal height",TRUE,0
"19","b_x2z",-0.00698654229194555,-0.0329325394710504,0.0195349318272047,0.8,"median","qi","Density",TRUE,0
"20","b_x3z",0.0810447921084146,0.0623799933023965,0.100946432853119,0.8,"median","qi","Tidal height",TRUE,0
"21","b_erapresent",-0.045372582404417,-0.0820946484357231,-0.00853238200812404,0.95,"median","qi","Era",TRUE,0.1
"22","b_erapresent:x2z",0.020329445565568,-0.016311999013781,0.05606021095698,0.95,"median","qi","Era x Density",TRUE,0.1
"23","b_erapresent:x3z",0.139597964167577,0.108942179455417,0.169327040003015,0.95,"median","qi","Era x Tidal height",TRUE,0.1
"24","b_x2z",-0.0474879227067102,-0.0747377282558799,-0.0214894346578307,0.95,"median","qi","Density",TRUE,0.1
"25","b_x3z",0.0237941449603071,0.00456891754752892,0.0424248228358437,0.95,"median","qi","Tidal height",TRUE,0.1
"26","b_erapresent",-0.045372582404417,-0.0697445485330939,-0.0216294370668064,0.8,"median","qi","Era",TRUE,0.1
"27","b_erapresent:x2z",0.020329445565568,-0.00318723150077577,0.0436233894460236,0.8,"median","qi","Era x Density",TRUE,0.1
"28","b_erapresent:x3z",0.139597964167577,0.119540236864359,0.158169877762729,0.8,"median","qi","Era x Tidal height",TRUE,0.1
"29","b_x2z",-0.0474879227067102,-0.064946117151759,-0.0303038578940039,0.8,"median","qi","Density",TRUE,0.1
"30","b_x3z",0.0237941449603071,0.0114624438692618,0.0358861342952914,0.8,"median","qi","Tidal height",TRUE,0.1
"31","b_erapresent",0.0697237706137216,0.0349549350959369,0.106421500621019,0.95,"median","qi","Era",TRUE,0.15
"32","b_erapresent:x2z",0.0618017322913908,0.0290024426117351,0.0946436087617191,0.95,"median","qi","Era x Density",TRUE,0.15
"33","b_erapresent:x3z",0.122330469923114,0.0973308918714105,0.14649993788732,0.95,"median","qi","Era x Tidal height",TRUE,0.15
"34","b_x2z",-0.0476591353346882,-0.0696615395995598,-0.0255663081554552,0.95,"median","qi","Density",TRUE,0.15
"35","b_x3z",0.0205954360195297,0.00494530421597795,0.0367873755826992,0.95,"median","qi","Tidal height",TRUE,0.15
"36","b_erapresent",0.0697237706137216,0.0467610417492281,0.0920078863702117,0.8,"median","qi","Era",TRUE,0.15
"37","b_erapresent:x2z",0.0618017322913908,0.0413256472352072,0.0828453066910771,0.8,"median","qi","Era x Density",TRUE,0.15
"38","b_erapresent:x3z",0.122330469923114,0.106242110888639,0.137649479693974,0.8,"median","qi","Era x Tidal height",TRUE,0.15
"39","b_x2z",-0.0476591353346882,-0.0622803924379449,-0.0328818315230217,0.8,"median","qi","Density",TRUE,0.15
"40","b_x3z",0.0205954360195297,0.0102668344752542,0.0306719005399247,0.8,"median","qi","Tidal height",TRUE,0.15
"41","b_erapresent",0.11767069991941,0.0848875736016497,0.149261491482017,0.95,"median","qi","Era",TRUE,0.2
"42","b_erapresent:x2z",0.0727588473513057,0.0436455678070115,0.103426810496357,0.95,"median","qi","Era x Density",TRUE,0.2
"43","b_erapresent:x3z",0.108502943315056,0.0867445769018477,0.130819391564166,0.95,"median","qi","Era x Tidal height",TRUE,0.2
"44","b_x2z",-0.0517409521269437,-0.071205467232534,-0.0321204801975584,0.95,"median","qi","Density",TRUE,0.2
"45","b_x3z",0.0139672450989248,4.71190407775095e-05,0.0279576026655392,0.95,"median","qi","Tidal height",TRUE,0.2
"46","b_erapresent",0.11767069991941,0.0956541291119629,0.13965019721635,0.8,"median","qi","Era",TRUE,0.2
"47","b_erapresent:x2z",0.0727588473513057,0.0543926910655676,0.0926263638640042,0.8,"median","qi","Era x Density",TRUE,0.2
"48","b_erapresent:x3z",0.108502943315056,0.0943184442706831,0.122683212696951,0.8,"median","qi","Era x Tidal height",TRUE,0.2
"49","b_x2z",-0.0517409521269437,-0.0643538460932594,-0.0395449142631142,0.8,"median","qi","Density",TRUE,0.2
"50","b_x3z",0.0139672450989248,0.00504531365631799,0.0231021941729297,0.8,"median","qi","Tidal height",TRUE,0.2
"51","b_erapresent",0.124959084367327,0.0952571073443485,0.154941473845463,0.95,"median","qi","Era",TRUE,0.25
"52","b_erapresent:x2z",0.0731611641991595,0.0461934741481272,0.101190050033569,0.95,"median","qi","Era x Density",TRUE,0.25
"53","b_erapresent:x3z",0.102136499462479,0.0820082270656635,0.122186612862683,0.95,"median","qi","Era x Tidal height",TRUE,0.25
"54","b_x2z",-0.0522303421751141,-0.069630982358541,-0.0347592764801034,0.95,"median","qi","Density",TRUE,0.25
"55","b_x3z",0.0143679861900117,0.00167197046044482,0.0275496118533751,0.95,"median","qi","Tidal height",TRUE,0.25
"56","b_erapresent",0.124959084367327,0.105322549692371,0.144217315766898,0.8,"median","qi","Era",TRUE,0.25
"57","b_erapresent:x2z",0.0731611641991595,0.0560432034801166,0.0912759297520426,0.8,"median","qi","Era x Density",TRUE,0.25
"58","b_erapresent:x3z",0.102136499462479,0.08871308755467,0.115088775690158,0.8,"median","qi","Era x Tidal height",TRUE,0.25
"59","b_x2z",-0.0522303421751141,-0.0633445111987471,-0.0407208935356837,0.8,"median","qi","Density",TRUE,0.25
"60","b_x3z",0.0143679861900117,0.00614854229267334,0.0229439675993661,0.8,"median","qi","Tidal height",TRUE,0.25
"61","b_erapresent",0.125239542356783,0.0948197379732425,0.154382006823593,0.95,"median","qi","Era",TRUE,0.3
"62","b_erapresent:x2z",0.0639161597138855,0.0358280875954358,0.0915063820132087,0.95,"median","qi","Era x Density",TRUE,0.3
"63","b_erapresent:x3z",0.0956257282536037,0.0751662047580508,0.115844766436964,0.95,"median","qi","Era x Tidal height",TRUE,0.3
"64","b_x2z",-0.0469581555572706,-0.0637985830045373,-0.0305150181467439,0.95,"median","qi","Density",TRUE,0.3
"65","b_x3z",0.0149345144405175,0.00238097227530875,0.0276653631925237,0.95,"median","qi","Tidal height",TRUE,0.3
"66","b_erapresent",0.125239542356783,0.105397275331832,0.144635681588078,0.8,"median","qi","Era",TRUE,0.3
"67","b_erapresent:x2z",0.0639161597138855,0.045564227108211,0.0819824714148136,0.8,"median","qi","Era x Density",TRUE,0.3
"68","b_erapresent:x3z",0.0956257282536037,0.0825960850636145,0.108686155981345,0.8,"median","qi","Era x Tidal height",TRUE,0.3
"69","b_x2z",-0.0469581555572706,-0.0580439502079091,-0.0358869743015973,0.8,"median","qi","Density",TRUE,0.3
"70","b_x3z",0.0149345144405175,0.00664712982916454,0.0232891816729279,0.8,"median","qi","Tidal height",TRUE,0.3
"71","b_erapresent",0.130455517591393,0.10154975229701,0.158459659100685,0.95,"median","qi","Era",TRUE,0.35
"72","b_erapresent:x2z",0.0608966825712371,0.0364160015943298,0.0874257991015439,0.95,"median","qi","Era x Density",TRUE,0.35
"73","b_erapresent:x3z",0.0887275882964989,0.0697488246948126,0.107573614444039,0.95,"median","qi","Era x Tidal height",TRUE,0.35
"74","b_x2z",-0.0500188856252046,-0.0664360443241677,-0.0334554857505356,0.95,"median","qi","Density",TRUE,0.35
"75","b_x3z",0.00978952851840251,-0.00220736919856881,0.0222496259565328,0.95,"median","qi","Tidal height",TRUE,0.35
"76","b_erapresent",0.130455517591393,0.111554654353469,0.149472970467603,0.8,"median","qi","Era",TRUE,0.35
"77","b_erapresent:x2z",0.0608966825712371,0.0446428330414038,0.078125791748997,0.8,"median","qi","Era x Density",TRUE,0.35
"78","b_erapresent:x3z",0.0887275882964989,0.0759526953726068,0.101177524361713,0.8,"median","qi","Era x Tidal height",TRUE,0.35
"79","b_x2z",-0.0500188856252046,-0.0606758553831669,-0.0393406938079925,0.8,"median","qi","Density",TRUE,0.35
"80","b_x3z",0.00978952851840251,0.00190650479234054,0.0180055468528372,0.8,"median","qi","Tidal height",TRUE,0.35
"81","b_erapresent",0.130427883925709,0.102991926846224,0.156892367752436,0.95,"median","qi","Era",TRUE,0.4
"82","b_erapresent:x2z",0.0607779896776343,0.0339537896417402,0.0871614456076846,0.95,"median","qi","Era x Density",TRUE,0.4
"83","b_erapresent:x3z",0.0893506851452601,0.0699911921363951,0.108285997470641,0.95,"median","qi","Era x Tidal height",TRUE,0.4
"84","b_x2z",-0.0488399173001287,-0.0643967570014539,-0.0325393003632998,0.95,"median","qi","Density",TRUE,0.4
"85","b_x3z",0.00628627122681363,-0.00595530154942685,0.0183132860647033,0.95,"median","qi","Tidal height",TRUE,0.4
"86","b_erapresent",0.130427883925709,0.112552106035118,0.1485148492535,0.8,"median","qi","Era",TRUE,0.4
"87","b_erapresent:x2z",0.0607779896776343,0.0436021331152497,0.0779431086639759,0.8,"median","qi","Era x Density",TRUE,0.4
"88","b_erapresent:x3z",0.0893506851452601,0.0765515257971766,0.101509401286158,0.8,"median","qi","Era x Tidal height",TRUE,0.4
"89","b_x2z",-0.0488399173001287,-0.059241092821163,-0.0379382702409761,0.8,"median","qi","Density",TRUE,0.4
"90","b_x3z",0.00628627122681363,-0.00156634424868469,0.014406904668587,0.8,"median","qi","Tidal height",TRUE,0.4
"91","b_erapresent",0.129179244119727,0.103520577940193,0.154063941234076,0.95,"median","qi","Era",TRUE,0.45
"92","b_erapresent:x2z",0.0497528778622702,0.0252694184920291,0.0734129904023646,0.95,"median","qi","Era x Density",TRUE,0.45
"93","b_erapresent:x3z",0.0838862521408541,0.0660138270145537,0.101495013156639,0.95,"median","qi","Era x Tidal height",TRUE,0.45
"94","b_x2z",-0.0425000010312125,-0.0577674753794008,-0.0276474359023265,0.95,"median","qi","Density",TRUE,0.45
"95","b_x3z",0.00944556343292024,-0.00220973174903384,0.0210093328910976,0.95,"median","qi","Tidal height",TRUE,0.45
"96","b_erapresent",0.129179244119727,0.112620899259186,0.145582488206371,0.8,"median","qi","Era",TRUE,0.45
"97","b_erapresent:x2z",0.0497528778622702,0.0334485090955892,0.0658028458919419,0.8,"median","qi","Era x Density",TRUE,0.45
"98","b_erapresent:x3z",0.0838862521408541,0.0724294447789616,0.0954567074907664,0.8,"median","qi","Era x Tidal height",TRUE,0.45
"99","b_x2z",-0.0425000010312125,-0.0521415122957152,-0.0326850823962973,0.8,"median","qi","Density",TRUE,0.45
"100","b_x3z",0.00944556343292024,0.00189040005695917,0.0168612333341035,0.8,"median","qi","Tidal height",TRUE,0.45
"101","b_erapresent",-0.189686905448631,-0.226400369711486,-0.154129066590918,0.95,"median","qi","Era",TRUE,0.05
"102","b_erapresent:x2z",-0.0432645140466709,-0.0827302851674987,-0.00366092058489375,0.95,"median","qi","Era x Density",TRUE,0.05
"103","b_erapresent:x3z",0.136888412578754,0.0993475268715966,0.174649453954846,0.95,"median","qi","Era x Tidal height",TRUE,0.05
"104","b_x2z",-0.0381203724409223,-0.0676870948428654,-0.0069298376767313,0.95,"median","qi","Density",TRUE,0.05
"105","b_x3z",0.0389046493280654,0.0167731514909487,0.0618131731173315,0.95,"median","qi","Tidal height",TRUE,0.05
"106","b_erapresent",-0.189686905448631,-0.214152940859851,-0.165811419269775,0.8,"median","qi","Era",TRUE,0.05
"107","b_erapresent:x2z",-0.0432645140466709,-0.0698494811015505,-0.017716442356865,0.8,"median","qi","Era x Density",TRUE,0.05
"108","b_erapresent:x3z",0.136888412578754,0.111800588165167,0.161754904832601,0.8,"median","qi","Era x Tidal height",TRUE,0.05
"109","b_x2z",-0.0381203724409223,-0.0579588212359068,-0.0177566422288201,0.8,"median","qi","Density",TRUE,0.05
"110","b_x3z",0.0389046493280654,0.0244391108370405,0.0537946146246578,0.8,"median","qi","Tidal height",TRUE,0.05
"111","b_erapresent",0.129717365509527,0.105868900310101,0.15359924953605,0.95,"median","qi","Era",TRUE,0.5
"112","b_erapresent:x2z",0.0459204255525891,0.0228089626636286,0.0687962685376757,0.95,"median","qi","Era x Density",TRUE,0.5
"113","b_erapresent:x3z",0.0805294163482656,0.0625911470259675,0.0982161124570464,0.95,"median","qi","Era x Tidal height",TRUE,0.5
"114","b_x2z",-0.0394497340953626,-0.0536284178495355,-0.024632729901565,0.95,"median","qi","Density",TRUE,0.5
"115","b_x3z",0.0100544146383737,-0.00114650853065674,0.0212607378099632,0.95,"median","qi","Tidal height",TRUE,0.5
"116","b_erapresent",0.129717365509527,0.114703759849532,0.145165473255451,0.8,"median","qi","Era",TRUE,0.5
"117","b_erapresent:x2z",0.0459204255525891,0.0307299580492195,0.061199174985883,0.8,"median","qi","Era x Density",TRUE,0.5
"118","b_erapresent:x3z",0.0805294163482656,0.0689891517234239,0.0921488981593411,0.8,"median","qi","Era x Tidal height",TRUE,0.5
"119","b_x2z",-0.0394497340953626,-0.0485756667135966,-0.0298096814100078,0.8,"median","qi","Density",TRUE,0.5
"120","b_x3z",0.0100544146383737,0.00256994987722073,0.0175235222474977,0.8,"median","qi","Tidal height",TRUE,0.5
