"",".rownames","Estimate","SE","truncate","quantile"
"1","elpd_waic",-643.291450261528,33.0922534998429,FALSE,NA
"2","p_waic",11.1718122143493,0.335524131118504,FALSE,NA
"3","waic",1286.58290052306,66.1845069996858,FALSE,NA
"4","elpd_loo",-643.303033582716,33.0924737751538,FALSE,NA
"5","p_loo",11.1833955355373,0.335806237909025,FALSE,NA
"6","looic",1286.60606716543,66.1849475503076,FALSE,NA
"7","elpd_waic",-500.895511862067,31.4515419026837,TRUE,0
"8","p_waic",10.3120049601272,0.316244509225621,TRUE,0
"9","waic",1001.79102372413,62.9030838053675,TRUE,0
"10","elpd_loo",-500.907609035561,31.4518026604223,TRUE,0
"11","p_loo",10.3241021336217,0.316600615563965,TRUE,0
"12","looic",1001.81521807112,62.9036053208446,TRUE,0
"13","elpd_waic",139.410233761946,24.2975195091321,TRUE,0.1
"14","p_waic",8.07018675101431,0.351908466776309,TRUE,0.1
"15","waic",-278.820467523891,48.5950390182642,TRUE,0.1
"16","elpd_loo",139.400281648599,24.2978212576645,TRUE,0.1
"17","p_loo",8.08013886436132,0.352303069249679,TRUE,0.1
"18","looic",-278.800563297199,48.595642515329,TRUE,0.1
"19","elpd_waic",306.605877279816,21.4512039526475,TRUE,0.15
"20","p_waic",7.63418183136162,0.389136928286836,TRUE,0.15
"21","waic",-613.211754559631,42.902407905295,TRUE,0.15
"22","elpd_loo",306.594876015747,21.4516241499143,TRUE,0.15
"23","p_loo",7.64518309542983,0.389737859551107,TRUE,0.15
"24","looic",-613.189752031495,42.9032482998287,TRUE,0.15
"25","elpd_waic",410.087401608585,20.4500775406813,TRUE,0.2
"26","p_waic",7.41091905929343,0.411827952115617,TRUE,0.2
"27","waic",-820.174803217169,40.9001550813626,TRUE,0.2
"28","elpd_loo",410.077264323156,20.4505091262524,TRUE,0.2
"29","p_loo",7.42105634472142,0.412387182051943,TRUE,0.2
"30","looic",-820.154528646312,40.9010182525048,TRUE,0.2
"31","elpd_waic",456.743937937066,19.5358398173962,TRUE,0.25
"32","p_waic",7.25311760651,0.40858859494042,TRUE,0.25
"33","waic",-913.487875874131,39.0716796347924,TRUE,0.25
"34","elpd_loo",456.733256321707,19.5363079969409,TRUE,0.25
"35","p_loo",7.26379922186779,0.409393712657876,TRUE,0.25
"36","looic",-913.466512643414,39.0726159938818,TRUE,0.25
"37","elpd_waic",478.551349037657,19.6020975242191,TRUE,0.3
"38","p_waic",7.44156475706195,0.437391798995292,TRUE,0.3
"39","waic",-957.102698075314,39.2041950484381,TRUE,0.3
"40","elpd_loo",478.541521937214,19.602320519503,TRUE,0.3
"41","p_loo",7.45139185750307,0.437744973409706,TRUE,0.3
"42","looic",-957.083043874428,39.2046410390059,TRUE,0.3
"43","elpd_waic",490.459066523596,19.5961058426327,TRUE,0.35
"44","p_waic",7.39550339390868,0.433922133817054,TRUE,0.35
"45","waic",-980.918133047193,39.1922116852653,TRUE,0.35
"46","elpd_loo",490.449644912101,19.5964702363413,TRUE,0.35
"47","p_loo",7.40492500540477,0.434453428663611,TRUE,0.35
"48","looic",-980.899289824202,39.1929404726825,TRUE,0.35
"49","elpd_waic",489.848263137279,19.7660694319218,TRUE,0.4
"50","p_waic",7.6744397917161,0.467491220421357,TRUE,0.4
"51","waic",-979.696526274559,39.5321388638437,TRUE,0.4
"52","elpd_loo",489.837930534573,19.7664035525488,TRUE,0.4
"53","p_loo",7.68477239442121,0.467946881835144,TRUE,0.4
"54","looic",-979.675861069146,39.5328071050977,TRUE,0.4
"55","elpd_waic",499.707894872042,19.0672914856027,TRUE,0.45
"56","p_waic",7.57798254447758,0.475714029354458,TRUE,0.45
"57","waic",-999.415789744084,38.1345829712054,TRUE,0.45
"58","elpd_loo",499.695036504956,19.0680213582875,TRUE,0.45
"59","p_loo",7.59084091156327,0.476473050412169,TRUE,0.45
"60","looic",-999.390073009913,38.136042716575,TRUE,0.45
"61","elpd_waic",-106.315767354516,29.3904533995323,TRUE,0.05
"62","p_waic",8.95233836094093,0.286848864480005,TRUE,0.05
"63","waic",212.631534709032,58.7809067990646,TRUE,0.05
"64","elpd_loo",-106.326478747929,29.3906894101559,TRUE,0.05
"65","p_loo",8.9630497543535,0.287151063939951,TRUE,0.05
"66","looic",212.652957495857,58.7813788203118,TRUE,0.05
"67","elpd_waic",499.334759501132,17.6320909313089,TRUE,0.5
"68","p_waic",7.47782700820449,0.482301190417759,TRUE,0.5
"69","waic",-998.669519002264,35.2641818626178,TRUE,0.5
"70","elpd_loo",499.322282998035,17.6326676958895,TRUE,0.5
"71","p_loo",7.49030351130142,0.48325236641745,TRUE,0.5
"72","looic",-998.64456599607,35.265335391779,TRUE,0.5
