"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.603709627762908,2414.83851105163,FALSE,NA
"2","b_erapresent",0.841803708574602,3367.21483429841,FALSE,NA
"3","b_x2z",0.59814242087466,2392.56968349864,FALSE,NA
"4","b_x3z",0.689223146723993,2756.89258689597,FALSE,NA
"5","b_erapresent:x2z",0.653238601806975,2612.9544072279,FALSE,NA
"6","b_erapresent:x3z",0.587470747054127,2349.88298821651,FALSE,NA
"7","sigma",0.468149240118398,1872.59696047359,FALSE,NA
"8","nu",0.499414266617457,1997.65706646983,FALSE,NA
"9","lp__",0.426094011880551,1704.3760475222,FALSE,NA
"10","b_Intercept",0.581876103431359,2327.50441372543,TRUE,0
"11","b_erapresent",0.816935438910132,3267.74175564053,TRUE,0
"12","b_x2z",0.491725636279828,1966.90254511931,TRUE,0
"13","b_x3z",0.642078831059428,2568.31532423771,TRUE,0
"14","b_erapresent:x2z",0.522119668801318,2088.47867520527,TRUE,0
"15","b_erapresent:x3z",0.529731292082135,2118.92516832854,TRUE,0
"16","sigma",0.560434610317,2241.738441268,TRUE,0
"17","nu",0.546770947078732,2187.08378831493,TRUE,0
"18","lp__",0.364558440984295,1458.23376393718,TRUE,0
"19","b_Intercept",0.828495895140581,3313.98358056232,TRUE,0.1
"20","b_erapresent",1.02439732621706,4097.58930486823,TRUE,0.1
"21","b_x2z",0.743222158059324,2972.8886322373,TRUE,0.1
"22","b_x3z",0.864994003320861,3459.97601328345,TRUE,0.1
"23","b_erapresent:x2z",0.750136966776207,3000.54786710483,TRUE,0.1
"24","b_erapresent:x3z",0.817554574892272,3270.21829956909,TRUE,0.1
"25","sigma",0.778470790009608,3113.88316003843,TRUE,0.1
"26","nu",0.891427059744769,3565.70823897907,TRUE,0.1
"27","lp__",0.481230206726116,1924.92082690446,TRUE,0.1
"28","b_Intercept",0.913091426346388,3652.36570538555,TRUE,0.15
"29","b_erapresent",0.888131969218713,3552.52787687485,TRUE,0.15
"30","b_x2z",0.775595110839447,3102.38044335779,TRUE,0.15
"31","b_x3z",0.817941488476812,3271.76595390725,TRUE,0.15
"32","b_erapresent:x2z",0.819345104525903,3277.38041810361,TRUE,0.15
"33","b_erapresent:x3z",0.813300295738295,3253.20118295318,TRUE,0.15
"34","sigma",1.04694084969829,4187.76339879317,TRUE,0.15
"35","nu",0.930361296411146,3721.44518564458,TRUE,0.15
"36","lp__",0.476287728366039,1905.15091346416,TRUE,0.15
"37","b_Intercept",0.985596545827887,3942.38618331155,TRUE,0.2
"38","b_erapresent",1.04758313227659,4190.33252910635,TRUE,0.2
"39","b_x2z",0.777770435742229,3111.08174296891,TRUE,0.2
"40","b_x3z",0.906051119722854,3624.20447889141,TRUE,0.2
"41","b_erapresent:x2z",0.741374213512316,2965.49685404926,TRUE,0.2
"42","b_erapresent:x3z",0.851657747752355,3406.63099100942,TRUE,0.2
"43","sigma",0.915592351813424,3662.36940725369,TRUE,0.2
"44","nu",0.861702888815737,3446.81155526295,TRUE,0.2
"45","lp__",0.407981849336953,1631.92739734781,TRUE,0.2
"46","b_Intercept",1.00194831131618,4007.79324526472,TRUE,0.25
"47","b_erapresent",0.952894679203991,3811.57871681596,TRUE,0.25
"48","b_x2z",0.870446176605911,3481.78470642364,TRUE,0.25
"49","b_x3z",0.799987389611841,3199.94955844736,TRUE,0.25
"50","b_erapresent:x2z",0.816747479909896,3266.98991963958,TRUE,0.25
"51","b_erapresent:x3z",0.706483023590577,2825.93209436231,TRUE,0.25
"52","sigma",0.983203078992122,3932.81231596849,TRUE,0.25
"53","nu",0.806734343142678,3226.93737257071,TRUE,0.25
"54","lp__",0.44985948095433,1799.43792381732,TRUE,0.25
"55","b_Intercept",0.878175142113129,3512.70056845252,TRUE,0.3
"56","b_erapresent",0.966917543185019,3867.67017274008,TRUE,0.3
"57","b_x2z",0.707847923253882,2831.39169301553,TRUE,0.3
"58","b_x3z",0.655627826433334,2622.51130573333,TRUE,0.3
"59","b_erapresent:x2z",0.632263123462997,2529.05249385199,TRUE,0.3
"60","b_erapresent:x3z",0.657761618895574,2631.0464755823,TRUE,0.3
"61","sigma",0.861715123376323,3446.86049350529,TRUE,0.3
"62","nu",0.850673911931558,3402.69564772623,TRUE,0.3
"63","lp__",0.36996101122335,1479.8440448934,TRUE,0.3
"64","b_Intercept",0.986930443435373,3947.72177374149,TRUE,0.35
"65","b_erapresent",0.766909186820227,3067.63674728091,TRUE,0.35
"66","b_x2z",0.717661036917011,2870.64414766804,TRUE,0.35
"67","b_x3z",0.771605112764581,3086.42045105832,TRUE,0.35
"68","b_erapresent:x2z",0.722479753760367,2889.91901504147,TRUE,0.35
"69","b_erapresent:x3z",0.739084268363104,2956.33707345241,TRUE,0.35
"70","sigma",0.883355935388184,3533.42374155274,TRUE,0.35
"71","nu",0.746436750172808,2985.74700069123,TRUE,0.35
"72","lp__",0.445033207304971,1780.13282921988,TRUE,0.35
"73","b_Intercept",0.930796897011022,3723.18758804409,TRUE,0.4
"74","b_erapresent",0.773659533573043,3094.63813429217,TRUE,0.4
"75","b_x2z",0.734980751442544,2939.92300577018,TRUE,0.4
"76","b_x3z",0.763627973590356,3054.51189436142,TRUE,0.4
"77","b_erapresent:x2z",0.683721393566795,2734.88557426718,TRUE,0.4
"78","b_erapresent:x3z",0.738049322601416,2952.19729040566,TRUE,0.4
"79","sigma",0.867901410263714,3471.60564105486,TRUE,0.4
"80","nu",0.897152989630661,3588.61195852265,TRUE,0.4
"81","lp__",0.388683188749111,1554.73275499645,TRUE,0.4
"82","b_Intercept",0.998100424970361,3992.40169988145,TRUE,0.45
"83","b_erapresent",0.923097270936706,3692.38908374682,TRUE,0.45
"84","b_x2z",0.733232828898685,2932.93131559474,TRUE,0.45
"85","b_x3z",0.725611312051083,2902.44524820433,TRUE,0.45
"86","b_erapresent:x2z",0.781153367383701,3124.6134695348,TRUE,0.45
"87","b_erapresent:x3z",0.687041028718038,2748.16411487215,TRUE,0.45
"88","sigma",0.796840465856337,3187.36186342535,TRUE,0.45
"89","nu",0.872657180092496,3490.62872036998,TRUE,0.45
"90","lp__",0.444644601186988,1778.57840474795,TRUE,0.45
"91","b_Intercept",0.676729207348913,2706.91682939565,TRUE,0.05
"92","b_erapresent",0.922303599702382,3689.21439880953,TRUE,0.05
"93","b_x2z",0.627580100362484,2510.32040144994,TRUE,0.05
"94","b_x3z",0.665131032745574,2660.52413098229,TRUE,0.05
"95","b_erapresent:x2z",0.670807791232587,2683.23116493035,TRUE,0.05
"96","b_erapresent:x3z",0.600527909272461,2402.11163708985,TRUE,0.05
"97","sigma",0.640171257998244,2560.68503199297,TRUE,0.05
"98","nu",0.621850090115858,2487.40036046343,TRUE,0.05
"99","lp__",0.434154790425204,1736.61916170081,TRUE,0.05
"100","b_Intercept",1.03294696036124,4131.78784144497,TRUE,0.5
"101","b_erapresent",0.887558419817824,3550.2336792713,TRUE,0.5
"102","b_x2z",0.76275074988003,3051.00299952012,TRUE,0.5
"103","b_x3z",0.870146051444161,3480.58420577664,TRUE,0.5
"104","b_erapresent:x2z",0.702297232794869,2809.18893117947,TRUE,0.5
"105","b_erapresent:x3z",0.765145112404293,3060.58044961717,TRUE,0.5
"106","sigma",0.791433064147444,3165.73225658978,TRUE,0.5
"107","nu",0.813794644764324,3255.1785790573,TRUE,0.5
"108","lp__",0.483171150086839,1932.68460034736,TRUE,0.5
