"",".variable","rhat","truncate","quantile"
"1","b_Intercept",1.00140776908172,FALSE,NA
"2","b_erapresent",0.99980492380697,FALSE,NA
"3","b_x2z",1.00028769262956,FALSE,NA
"4","b_x3z",0.999803160439203,FALSE,NA
"5","b_erapresent:x2z",0.999456454467561,FALSE,NA
"6","b_erapresent:x3z",1.00113152630846,FALSE,NA
"7","sigma",1.00244289291909,FALSE,NA
"8","nu",1.0016850370391,FALSE,NA
"9","lp__",1.00188067783661,FALSE,NA
"10","b_Intercept",1.00199651469797,TRUE,0
"11","b_erapresent",1.00201255205019,TRUE,0
"12","b_x2z",1.00080529747585,TRUE,0
"13","b_x3z",1.00175552847025,TRUE,0
"14","b_erapresent:x2z",1.00015544317672,TRUE,0
"15","b_erapresent:x3z",1.00116764667323,TRUE,0
"16","sigma",1.00064844576778,TRUE,0
"17","nu",1.0007952743224,TRUE,0
"18","lp__",1.00272676784245,TRUE,0
"19","b_Intercept",0.999597927974096,TRUE,0.1
"20","b_erapresent",0.999751197041407,TRUE,0.1
"21","b_x2z",1.00014817121463,TRUE,0.1
"22","b_x3z",0.999663001000196,TRUE,0.1
"23","b_erapresent:x2z",1.00013564229754,TRUE,0.1
"24","b_erapresent:x3z",0.999600617619617,TRUE,0.1
"25","sigma",1.00062149256883,TRUE,0.1
"26","nu",1.00082634912463,TRUE,0.1
"27","lp__",1.00078987280079,TRUE,0.1
"28","b_Intercept",1.0012609109686,TRUE,0.15
"29","b_erapresent",1.00071605634276,TRUE,0.15
"30","b_x2z",1.00183029691631,TRUE,0.15
"31","b_x3z",1.0016994006015,TRUE,0.15
"32","b_erapresent:x2z",1.00068937900079,TRUE,0.15
"33","b_erapresent:x3z",1.0003264539994,TRUE,0.15
"34","sigma",1.00005366698085,TRUE,0.15
"35","nu",0.999862068743829,TRUE,0.15
"36","lp__",1.00133672223743,TRUE,0.15
"37","b_Intercept",0.999680894316479,TRUE,0.2
"38","b_erapresent",0.999166312864595,TRUE,0.2
"39","b_x2z",0.999719359793985,TRUE,0.2
"40","b_x3z",1.0002720133507,TRUE,0.2
"41","b_erapresent:x2z",0.999456763135714,TRUE,0.2
"42","b_erapresent:x3z",0.999853743798302,TRUE,0.2
"43","sigma",1.00028452025297,TRUE,0.2
"44","nu",1.00012824312774,TRUE,0.2
"45","lp__",1.00086415965791,TRUE,0.2
"46","b_Intercept",1.00118586919358,TRUE,0.25
"47","b_erapresent",0.999577909465737,TRUE,0.25
"48","b_x2z",1.00031546478551,TRUE,0.25
"49","b_x3z",1.00033494757034,TRUE,0.25
"50","b_erapresent:x2z",1.00141332696345,TRUE,0.25
"51","b_erapresent:x3z",0.999584692788887,TRUE,0.25
"52","sigma",0.999857961140822,TRUE,0.25
"53","nu",1.00053994048118,TRUE,0.25
"54","lp__",1.00101872682549,TRUE,0.25
"55","b_Intercept",1.00110596644856,TRUE,0.3
"56","b_erapresent",0.999941969553772,TRUE,0.3
"57","b_x2z",1.00162860884716,TRUE,0.3
"58","b_x3z",1.00123353494999,TRUE,0.3
"59","b_erapresent:x2z",1.00347290118144,TRUE,0.3
"60","b_erapresent:x3z",1.00214982115823,TRUE,0.3
"61","sigma",0.999373298894463,TRUE,0.3
"62","nu",0.999470835894107,TRUE,0.3
"63","lp__",1.00371033564702,TRUE,0.3
"64","b_Intercept",1.00034577793914,TRUE,0.35
"65","b_erapresent",0.999711724826808,TRUE,0.35
"66","b_x2z",1.00019387108873,TRUE,0.35
"67","b_x3z",1.00000000737074,TRUE,0.35
"68","b_erapresent:x2z",1.00017037137053,TRUE,0.35
