"",".rownames","Estimate","SE","truncate","quantile"
"1","elpd_waic",201.671395509013,26.4847200173956,FALSE,NA
"2","p_waic",31.0261882735307,2.34753373245365,FALSE,NA
"3","waic",-403.342791018026,52.9694400347912,FALSE,NA
"4","elpd_loo",201.322195739492,26.4993839522684,FALSE,NA
"5","p_loo",31.3753880430517,2.3985760906457,FALSE,NA
"6","looic",-402.644391478984,52.9987679045369,FALSE,NA
"7","elpd_waic",250.031602333532,24.9699759200216,TRUE,0
"8","p_waic",31.3408534514875,2.4366547906142,TRUE,0
"9","waic",-500.063204667065,49.9399518400432,TRUE,0
"10","elpd_loo",249.757195817676,24.9806350099664,TRUE,0
"11","p_loo",31.6152599673441,2.47563338253591,TRUE,0
"12","looic",-499.514391635352,49.9612700199328,TRUE,0
"13","elpd_waic",429.429926327477,21.9811414832588,TRUE,0.1
"14","p_waic",28.2053520429881,2.3583181845672,TRUE,0.1
"15","waic",-858.859852654955,43.9622829665175,TRUE,0.1
"16","elpd_loo",429.134278601979,21.9956615435653,TRUE,0.1
"17","p_loo",28.500999768487,2.40840977289949,TRUE,0.1
"18","looic",-858.268557203957,43.9913230871305,TRUE,0.1
"19","elpd_waic",448.505348558375,21.1422556331529,TRUE,0.15
"20","p_waic",26.8299310741793,2.26300536791617,TRUE,0.15
"21","waic",-897.01069711675,42.2845112663057,TRUE,0.15
"22","elpd_loo",448.161296696934,21.15651958871,TRUE,0.15
"23","p_loo",27.1739829356218,2.32184454204459,TRUE,0.15
"24","looic",-896.322593393867,42.3130391774201,TRUE,0.15
"25","elpd_waic",441.582983274515,20.76584857537,TRUE,0.2
"26","p_waic",25.9943407377436,2.26707808077357,TRUE,0.2
"27","waic",-883.16596654903,41.53169715074,TRUE,0.2
"28","elpd_loo",441.262719111267,20.7801856907278,TRUE,0.2
"29","p_loo",26.3146049009933,2.3220677573754,TRUE,0.2
"30","looic",-882.525438222534,41.5603713814557,TRUE,0.2
"31","elpd_waic",421.355103145646,19.6820934951553,TRUE,0.25
"32","p_waic",22.6491413262127,1.95612778138928,TRUE,0.25
"33","waic",-842.710206291293,39.3641869903106,TRUE,0.25
"34","elpd_loo",421.005927999528,19.6973584387818,TRUE,0.25
"35","p_loo",22.9983164723315,2.0386708961163,TRUE,0.25
"36","looic",-842.011855999055,39.3947168775636,TRUE,0.25
"37","elpd_waic",408.106572371204,19.2477888371549,TRUE,0.3
"38","p_waic",21.7164168931466,1.92609792997787,TRUE,0.3
"39","waic",-816.213144742408,38.4955776743098,TRUE,0.3
"40","elpd_loo",407.758901560079,19.259420762246,TRUE,0.3
"41","p_loo",22.0640877042713,2.00154043880766,TRUE,0.3
"42","looic",-815.517803120159,38.5188415244921,TRUE,0.3
"43","elpd_waic",382.061339840662,18.746883971368,TRUE,0.35
"44","p_waic",19.2033025498367,1.77498003179012,TRUE,0.35
"45","waic",-764.122679681324,37.4937679427361,TRUE,0.35
"46","elpd_loo",381.735752634207,18.7542907546142,TRUE,0.35
"47","p_loo",19.5288897562926,1.83370898079044,TRUE,0.35
"48","looic",-763.471505268414,37.5085815092285,TRUE,0.35
"49","elpd_waic",351.395675568564,17.9373691648885,TRUE,0.4
"50","p_waic",17.8563779915196,1.71855881732074,TRUE,0.4
"51","waic",-702.791351137129,35.874738329777,TRUE,0.4
"52","elpd_loo",351.083128696877,17.9446794676856,TRUE,0.4
"53","p_loo",18.1689248632071,1.76863712774546,TRUE,0.4
"54","looic",-702.166257393755,35.8893589353713,TRUE,0.4
"55","elpd_waic",315.314895815723,16.558625720349,TRUE,0.45
"56","p_waic",15.5772976392651,1.62648350783314,TRUE,0.45
"57","waic",-630.629791631446,33.117251440698,TRUE,0.45
"58","elpd_loo",315.016330747434,16.5711696672292,TRUE,0.45
"59","p_loo",15.8758627075544,1.68592773868655,TRUE,0.45
"60","looic",-630.032661494868,33.1423393344585,TRUE,0.45
"61","elpd_waic",404.218566643737,22.4590076673879,TRUE,0.05
"62","p_waic",29.1720681083761,2.30955247566966,TRUE,0.05
"63","waic",-808.437133287474,44.9180153347758,TRUE,0.05
"64","elpd_loo",403.761548088777,22.4758691278651,TRUE,0.05
"65","p_loo",29.6290866633361,2.3887966137114,TRUE,0.05
"66","looic",-807.523096177555,44.9517382557301,TRUE,0.05
"67","elpd_waic",282.116769908331,15.5708165945784,TRUE,0.5
"68","p_waic",13.9924547752938,1.53502753488121,TRUE,0.5
"69","waic",-564.233539816663,31.1416331891569,TRUE,0.5
"70","elpd_loo",281.893099460636,15.5754704075307,TRUE,0.5
"71","p_loo",14.2161252229896,1.56927694335833,TRUE,0.5
"72","looic",-563.786198921271,31.1509408150613,TRUE,0.5
