"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.190528132342648,-0.343263805337693,-0.0274751383560497,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent:x2z",0.0876242913409175,-0.105517316232002,0.281145415287129,0.95,"median","qi","Era x Density",FALSE,NA
"3","b_erapresent:x3z",0.0152979908156715,-0.0888341109939799,0.119008578955022,0.95,"median","qi","Era x Tidal height",FALSE,NA
"4","b_x2z",-0.159659545326799,-0.344531241729898,0.0274972543821645,0.95,"median","qi","Density",FALSE,NA
"5","b_x3z",0.00996198440198974,-0.078340835443718,0.0961891732765206,0.95,"median","qi","Tidal height",FALSE,NA
"6","b_erapresent",-0.190528132342648,-0.289117662361999,-0.0922469399540194,0.8,"median","qi","Era",FALSE,NA
"7","b_erapresent:x2z",0.0876242913409175,-0.0368577677575774,0.209158495247126,0.8,"median","qi","Era x Density",FALSE,NA
"8","b_erapresent:x3z",0.0152979908156715,-0.0497029047794847,0.0804818535499649,0.8,"median","qi","Era x Tidal height",FALSE,NA
"9","b_x2z",-0.159659545326799,-0.273693781674219,-0.0404204450446833,0.8,"median","qi","Density",FALSE,NA
"10","b_x3z",0.00996198440198974,-0.0461148199108008,0.0647081239985457,0.8,"median","qi","Tidal height",FALSE,NA
"11","b_erapresent",-0.184643375769435,-0.331442491001599,-0.0402067114743922,0.95,"median","qi","Era",TRUE,0
"12","b_erapresent:x2z",0.0919047780161103,-0.0980953654571972,0.27184933210149,0.95,"median","qi","Era x Density",TRUE,0
"13","b_erapresent:x3z",0.0125705712202103,-0.0834454519385249,0.106500322395017,0.95,"median","qi","Era x Tidal height",TRUE,0
"14","b_x2z",-0.158195933544306,-0.327305863622929,0.0154776253918755,0.95,"median","qi","Density",TRUE,0
"15","b_x3z",0.0108301239080925,-0.0676866401885707,0.0903082414219487,0.95,"median","qi","Tidal height",TRUE,0
"16","b_erapresent",-0.184643375769435,-0.276912109558971,-0.0887139632252164,0.8,"median","qi","Era",TRUE,0
"17","b_erapresent:x2z",0.0919047780161103,-0.026210927283938,0.206601499627376,0.8,"median","qi","Era x Density",TRUE,0
"18","b_erapresent:x3z",0.0125705712202103,-0.051522243173934,0.0741925068382833,0.8,"median","qi","Era x Tidal height",TRUE,0
"19","b_x2z",-0.158195933544306,-0.264483926916415,-0.046931899576762,0.8,"median","qi","Density",TRUE,0
"20","b_x3z",0.0108301239080925,-0.0434666989830067,0.0631842820114135,0.8,"median","qi","Tidal height",TRUE,0
"21","b_erapresent",-0.136083312730406,-0.233073249998228,-0.0388690516524863,0.95,"median","qi","Era",TRUE,0.1
"22","b_erapresent:x2z",0.0673509519730146,-0.0592880260651208,0.194673730496456,0.95,"median","qi","Era x Density",TRUE,0.1
"23","b_erapresent:x3z",-0.00472908880829504,-0.0788815784622656,0.0680424517948234,0.95,"median","qi","Era x Tidal height",TRUE,0.1
"24","b_x2z",-0.10548508254389,-0.227672046183481,0.0159407222698644,0.95,"median","qi","Density",TRUE,0.1
"25","b_x3z",0.00765266853797678,-0.0506450903072842,0.0706263093917415,0.95,"median","qi","Tidal height",TRUE,0.1
"26","b_erapresent",-0.136083312730406,-0.198747699575368,-0.0743177000900258,0.8,"median","qi","Era",TRUE,0.1
"27","b_erapresent:x2z",0.0673509519730146,-0.0159412866153795,0.148660452430849,0.8,"median","qi","Era x Density",TRUE,0.1
"28","b_erapresent:x3z",-0.00472908880829504,-0.0528722093094357,0.0421419904109516,0.8,"median","qi","Era x Tidal height",TRUE,0.1
"29","b_x2z",-0.10548508254389,-0.18396563978058,-0.0261502453286796,0.8,"median","qi","Density",TRUE,0.1
"30","b_x3z",0.00765266853797678,-0.0312249376665071,0.0472789941567701,0.8,"median","qi","Tidal height",TRUE,0.1
"31","b_erapresent",-0.123621302349759,-0.220207563725614,-0.0293451251954701,0.95,"median","qi","Era",TRUE,0.15
"32","b_erapresent:x2z",0.0596827531895788,-0.0709492504562744,0.181386963291201,0.95,"median","qi","Era x Density",TRUE,0.15
"33","b_erapresent:x3z",-0.0142259785550867,-0.0864939310900541,0.0590683960445277,0.95,"median","qi","Era x Tidal height",TRUE,0.15
"34","b_x2z",-0.0900899930722617,-0.208507310973227,0.0297102967676331,0.95,"median","qi","Density",TRUE,0.15
"35","b_x3z",0.0051167712972165,-0.0552176446031831,0.066315948941767,0.95,"median","qi","Tidal height",TRUE,0.15
"36","b_erapresent",-0.123621302349759,-0.186270709955578,-0.0631242811908615,0.8,"median","qi","Era",TRUE,0.15
"37","b_erapresent:x2z",0.0596827531895788,-0.022884973740297,0.138224679901449,0.8,"median","qi","Era x Density",TRUE,0.15
"38","b_erapresent:x3z",-0.0142259785550867,-0.0611111871980095,0.0317787118367066,0.8,"median","qi","Era x Tidal height",TRUE,0.15
"39","b_x2z",-0.0900899930722617,-0.163649999023279,-0.0153861231041028,0.8,"median","qi","Density",TRUE,0.15
"40","b_x3z",0.0051167712972165,-0.0324435363537291,0.0451876653339436,0.8,"median","qi","Tidal height",TRUE,0.15
"41","b_erapresent",-0.118777433853276,-0.205207191375953,-0.0284303421377512,0.95,"median","qi","Era",TRUE,0.2
"42","b_erapresent:x2z",0.0417080571465172,-0.0724123275522946,0.156415786127772,0.95,"median","qi","Era x Density",TRUE,0.2
"43","b_erapresent:x3z",-0.0129487359088441,-0.0828904333465265,0.0584714474989436,0.95,"median","qi","Era x Tidal height",TRUE,0.2
"44","b_x2z",-0.072184121280664,-0.180475477583315,0.0360038724205402,0.95,"median","qi","Density",TRUE,0.2
"45","b_x3z",0.00302890224475268,-0.0564654213749401,0.062975579916204,0.95,"median","qi","Tidal height",TRUE,0.2
"46","b_erapresent",-0.118777433853276,-0.175169772430061,-0.0627693355101702,0.8,"median","qi","Era",TRUE,0.2
"47","b_erapresent:x2z",0.0417080571465172,-0.0322202596476399,0.113047760339831,0.8,"median","qi","Era x Density",TRUE,0.2
"48","b_erapresent:x3z",-0.0129487359088441,-0.0583751151213929,0.0324561471361543,0.8,"median","qi","Era x Tidal height",TRUE,0.2
