"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",0.394669579222253,1578.67831688901,FALSE,NA
"2","b_erapresent",0.387530223505582,1550.12089402233,FALSE,NA
"3","b_x2z",0.378300391861328,1513.20156744531,FALSE,NA
"4","b_x3z",0.507169262215912,2028.67704886365,FALSE,NA
"5","b_erapresent:x2z",0.386821383277835,1547.28553311134,FALSE,NA
"6","b_erapresent:x3z",0.415312310812418,1661.24924324967,FALSE,NA
"7","sd_sampleUnit__Intercept",0.296425280845222,1185.70112338089,FALSE,NA
"8","sigma",1.25557204259359,5022.28817037436,FALSE,NA
"9","r_sampleUnit[areaA_zone1,Intercept]",0.574457367294789,2297.82946917916,FALSE,NA
"10","r_sampleUnit[areaA_zone2,Intercept]",0.48031668375249,1921.26673500996,FALSE,NA
"11","r_sampleUnit[areaA_zone3,Intercept]",0.557794380113559,2231.17752045424,FALSE,NA
"12","r_sampleUnit[areaB_zone1,Intercept]",0.523050423941044,2092.20169576417,FALSE,NA
"13","r_sampleUnit[areaB_zone2,Intercept]",0.388912739963842,1555.65095985537,FALSE,NA
"14","r_sampleUnit[areaB_zone3,Intercept]",0.429347893021241,1717.39157208496,FALSE,NA
"15","r_sampleUnit[areaC_zone2,Intercept]",0.65259256542996,2610.37026171984,FALSE,NA
"16","r_sampleUnit[areaC_zone3,Intercept]",0.533161149426102,2132.64459770441,FALSE,NA
"17","r_sampleUnit[areaA_zone1_quad1,Intercept]",0.470140554126228,1880.56221650491,FALSE,NA
"18","r_sampleUnit[areaA_zone2_quad1,Intercept]",0.739137340848987,2956.54936339595,FALSE,NA
"19","r_sampleUnit[areaA_zone3_quad1,Intercept]",1.23192330925141,4927.69323700563,FALSE,NA
"20","r_sampleUnit[areaA_zone3_quad2,Intercept]",0.934098866529163,3736.39546611665,FALSE,NA
"21","r_sampleUnit[areaA_zone3_quad3,Intercept]",0.653452670661704,2613.81068264682,FALSE,NA
"22","r_sampleUnit[areaA_zone2_quad2,Intercept]",0.786056945727536,3144.22778291014,FALSE,NA
"23","r_sampleUnit[areaA_zone2_quad3,Intercept]",0.763047643332229,3052.19057332891,FALSE,NA
"24","r_sampleUnit[areaA_zone1_quad2,Intercept]",0.439018219706474,1756.0728788259,FALSE,NA
"25","r_sampleUnit[areaA_zone1_quad3,Intercept]",0.581683676944636,2326.73470777854,FALSE,NA
"26","r_sampleUnit[areaB_zone3_quad1,Intercept]",1.0387197425576,4154.87897023041,FALSE,NA
"27","r_sampleUnit[areaB_zone3_quad2,Intercept]",1.00530133036467,4021.20532145869,FALSE,NA
"28","r_sampleUnit[areaB_zone3_quad3,Intercept]",1.11568408215446,4462.73632861784,FALSE,NA
"29","r_sampleUnit[areaB_zone2_quad1,Intercept]",1.0672351145231,4268.94045809239,FALSE,NA
"30","r_sampleUnit[areaB_zone2_quad2,Intercept]",0.978370832430392,3913.48332972157,FALSE,NA
"31","r_sampleUnit[areaB_zone2_quad3,Intercept]",0.59958889160816,2398.35556643264,FALSE,NA
"32","r_sampleUnit[areaB_zone1_quad1,Intercept]",0.461178720115589,1844.71488046236,FALSE,NA
"33","r_sampleUnit[areaB_zone1_quad2,Intercept]",0.517290434104391,2069.16173641757,FALSE,NA
"34","r_sampleUnit[areaB_zone1_quad3,Intercept]",0.459484844495821,1837.93937798329,FALSE,NA
"35","r_sampleUnit[areaC_zone3_quad1,Intercept]",0.983430928711045,3933.72371484418,FALSE,NA
"36","r_sampleUnit[areaC_zone3_quad2,Intercept]",1.06195999589535,4247.8399835814,FALSE,NA
"37","r_sampleUnit[areaC_zone3_quad3,Intercept]",0.87771252657559,3510.85010630236,FALSE,NA
"38","r_sampleUnit[areaC_zone3_quad4,Intercept]",1.25636496763544,5025.45987054174,FALSE,NA
"39","r_sampleUnit[areaC_zone3_quad5,Intercept]",0.964078922043716,3856.31568817486,FALSE,NA
"40","r_sampleUnit[areaC_zone2_quad1,Intercept]",0.497974684505284,1991.89873802114,FALSE,NA
"41","r_sampleUnit[areaC_zone2_quad2,Intercept]",0.5238120534501,2095.2482138004,FALSE,NA
"42","r_sampleUnit[areaC_zone2_quad3,Intercept]",0.927336820181108,3709.34728072443,FALSE,NA
"43","lp__",0.235835155949764,943.340623799058,FALSE,NA
"44","b_Intercept",0.352125452620764,1408.50181048306,TRUE,0
"45","b_erapresent",0.370243639115034,1480.97455646014,TRUE,0
"46","b_x2z",0.372064408416404,1488.25763366562,TRUE,0
"47","b_x3z",0.427641156928027,1710.56462771211,TRUE,0
"48","b_erapresent:x2z",0.381553625212627,1526.21450085051,TRUE,0
"49","b_erapresent:x3z",0.403881556888878,1615.52622755551,TRUE,0
"50","sd_sampleUnit__Intercept",0.307933470701278,1231.73388280511,TRUE,0
"51","sigma",1.18215843461767,4728.63373847068,TRUE,0
"52","r_sampleUnit[areaA_zone1,Intercept]",0.450553660928989,1802.21464371596,TRUE,0
"53","r_sampleUnit[areaA_zone2,Intercept]",0.429328095168438,1717.31238067375,TRUE,0
"54","r_sampleUnit[areaA_zone3,Intercept]",0.526437122866878,2105.74849146751,TRUE,0
"55","r_sampleUnit[areaB_zone1,Intercept]",0.413465569020562,1653.86227608225,TRUE,0
"56","r_sampleUnit[areaB_zone2,Intercept]",0.351491279548539,1405.96511819415,TRUE,0
"57","r_sampleUnit[areaB_zone3,Intercept]",0.381973621465822,1527.89448586329,TRUE,0
"58","r_sampleUnit[areaC_zone2,Intercept]",0.54540631169884,2181.62524679536,TRUE,0
"59","r_sampleUnit[areaC_zone3,Intercept]",0.486129831745811,1944.51932698325,TRUE,0
"60","r_sampleUnit[areaA_zone1_quad1,Intercept]",0.442431134938485,1769.72453975394,TRUE,0
"61","r_sampleUnit[areaA_zone2_quad1,Intercept]",0.72420721020154,2896.82884080616,TRUE,0
"62","r_sampleUnit[areaA_zone3_quad1,Intercept]",0.954424767020603,3817.69906808241,TRUE,0
"63","r_sampleUnit[areaA_zone3_quad2,Intercept]",0.791040964188998,3164.16385675599,TRUE,0
"64","r_sampleUnit[areaA_zone3_quad3,Intercept]",0.574610973003895,2298.44389201558,TRUE,0
"65","r_sampleUnit[areaA_zone2_quad2,Intercept]",0.688074728246894,2752.29891298758,TRUE,0
"66","r_sampleUnit[areaA_zone2_quad3,Intercept]",0.691959433034972,2767.83773213989,TRUE,0
"67","r_sampleUnit[areaA_zone1_quad2,Intercept]",0.41683050589677,1667.32202358708,TRUE,0
"68","r_sampleUnit[areaA_zone1_quad3,Intercept]",0.480261844253854,1921.04737701542,TRUE,0
"69","r_sampleUnit[areaB_zone3_quad1,Intercept]",1.01849408628155,4073.97634512622,TRUE,0
"70","r_sampleUnit[areaB_zone3_quad2,Intercept]",0.785314940363014,3141.25976145206,TRUE,0
"71","r_sampleUnit[areaB_zone3_quad3,Intercept]",0.961586452711763,3846.34581084705,TRUE,0
