"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"1","b_erapresent",-0.251452872547325,-0.279080851996115,-0.222893811374069,0.95,"median","qi","Era",FALSE,NA
"2","b_erapresent",-0.251452872547325,-0.26966344234606,-0.232509626208545,0.8,"median","qi","Era",FALSE,NA
"3","b_erapresent",-0.237936649312266,-0.26493992033724,-0.209117320415016,0.95,"median","qi","Era",TRUE,0
"4","b_erapresent",-0.237936649312266,-0.255734085082067,-0.220036293843093,0.8,"median","qi","Era",TRUE,0
"5","b_erapresent",-0.171730799698763,-0.196204759683088,-0.147391289003106,0.95,"median","qi","Era",TRUE,0.1
"6","b_erapresent",-0.171730799698763,-0.188067258318673,-0.155609724323339,0.8,"median","qi","Era",TRUE,0.1
"7","b_erapresent",-0.160282552148041,-0.185207281844447,-0.136235677894845,0.95,"median","qi","Era",TRUE,0.15
"8","b_erapresent",-0.160282552148041,-0.176324735377677,-0.145068314610953,0.8,"median","qi","Era",TRUE,0.15
"9","b_erapresent",-0.151229967019715,-0.175564155000275,-0.127151865731005,0.95,"median","qi","Era",TRUE,0.2
"10","b_erapresent",-0.151229967019715,-0.166811418161505,-0.135703620361351,0.8,"median","qi","Era",TRUE,0.2
"11","b_erapresent",-0.116508964204784,-0.141475453778024,-0.0920408017910537,0.95,"median","qi","Era",TRUE,0.25
"12","b_erapresent",-0.116508964204784,-0.132537328686223,-0.100044089173502,0.8,"median","qi","Era",TRUE,0.25
"13","b_erapresent",-0.115348726724757,-0.141007930461874,-0.0893400612275137,0.95,"median","qi","Era",TRUE,0.3
"14","b_erapresent",-0.115348726724757,-0.132108279267336,-0.0983698772798558,0.8,"median","qi","Era",TRUE,0.3
"15","b_erapresent",-0.0972286120896559,-0.124627988239476,-0.0706618470504096,0.95,"median","qi","Era",TRUE,0.35
"16","b_erapresent",-0.0972286120896559,-0.114132176953074,-0.0797117680837695,0.8,"median","qi","Era",TRUE,0.35
"17","b_erapresent",-0.0956292200092481,-0.123404210156806,-0.066898466387786,0.95,"median","qi","Era",TRUE,0.4
"18","b_erapresent",-0.0956292200092481,-0.114252269922773,-0.0762461663555559,0.8,"median","qi","Era",TRUE,0.4
"19","b_erapresent",-0.0793782172266146,-0.110735335701857,-0.0485537002460786,0.95,"median","qi","Era",TRUE,0.45
"20","b_erapresent",-0.0793782172266146,-0.0996014475724704,-0.0586742152607053,0.8,"median","qi","Era",TRUE,0.45
"21","b_erapresent",-0.175927862308682,-0.201544068494651,-0.149984387759998,0.95,"median","qi","Era",TRUE,0.05
"22","b_erapresent",-0.175927862308682,-0.19209600084795,-0.159672138782151,0.8,"median","qi","Era",TRUE,0.05
"23","b_erapresent",-0.0809834177348219,-0.114871690983969,-0.0484574936312807,0.95,"median","qi","Era",TRUE,0.5
"24","b_erapresent",-0.0809834177348219,-0.103654797612983,-0.0584090589241315,0.8,"median","qi","Era",TRUE,0.5
