"",".variable","rhat","eff_samples","truncate","quantile"
"1","b_Intercept",1.02975975724765,4119.03902899059,FALSE,NA
"2","b_erapresent",0.954036151198502,3816.14460479401,FALSE,NA
"3","sigma",1.00707246381032,4028.28985524127,FALSE,NA
"4","lp__",0.507848622837984,2031.39449135194,FALSE,NA
"5","b_Intercept",1.02961246278243,4118.44985112973,TRUE,0
"6","b_erapresent",1.00424675976703,4016.9870390681,TRUE,0
"7","sigma",1.05388778147848,4215.5511259139,TRUE,0
"8","lp__",0.472224173355797,1888.89669342319,TRUE,0
"9","b_Intercept",0.927496682440057,3709.98672976023,TRUE,0.1
"10","b_erapresent",0.856961947328565,3427.84778931426,TRUE,0.1
"11","sigma",0.867930284210736,3471.72113684294,TRUE,0.1
"12","lp__",0.525762972284589,2103.05188913836,TRUE,0.1
"13","b_Intercept",0.995309681442419,3981.23872576968,TRUE,0.15
"14","b_erapresent",0.913833216354333,3655.33286541733,TRUE,0.15
"15","sigma",0.816056261730883,3264.22504692353,TRUE,0.15
"16","lp__",0.549349740930503,2197.39896372201,TRUE,0.15
"17","b_Intercept",1.13440601931488,4537.62407725953,TRUE,0.2
"18","b_erapresent",0.961183947372409,3844.73578948964,TRUE,0.2
"19","sigma",0.913706064181151,3654.8242567246,TRUE,0.2
"20","lp__",0.523105268792112,2092.42107516845,TRUE,0.2
"21","b_Intercept",1.04655259749738,4186.21038998952,TRUE,0.25
"22","b_erapresent",0.906188202182416,3624.75280872966,TRUE,0.25
"23","sigma",0.785619235626024,3142.4769425041,TRUE,0.25
"24","lp__",0.541237064889336,2164.94825955734,TRUE,0.25
"25","b_Intercept",1.03666622623411,4146.66490493644,TRUE,0.3
"26","b_erapresent",0.871527680866691,3486.11072346676,TRUE,0.3
"27","sigma",0.858066121921737,3432.26448768695,TRUE,0.3
"28","lp__",0.544296275378832,2177.18510151533,TRUE,0.3
"29","b_Intercept",1.00839399444501,4033.57597778004,TRUE,0.35
"30","b_erapresent",0.882038912041951,3528.1556481678,TRUE,0.35
"31","sigma",0.843446708639978,3373.78683455991,TRUE,0.35
"32","lp__",0.530321763787337,2121.28705514935,TRUE,0.35
"33","b_Intercept",1.09249501949805,4369.98007799222,TRUE,0.4
"34","b_erapresent",1.03664589457198,4146.58357828792,TRUE,0.4
"35","sigma",0.971161084096129,3884.64433638452,TRUE,0.4
"36","lp__",0.523335159279712,2093.34063711885,TRUE,0.4
"37","b_Intercept",1.04426570218817,4177.06280875266,TRUE,0.45
"38","b_erapresent",0.930263766119372,3721.05506447749,TRUE,0.45
"39","sigma",0.862604898526006,3450.41959410402,TRUE,0.45
"40","lp__",0.546707389616846,2186.82955846738,TRUE,0.45
"41","b_Intercept",0.985692165265282,3942.76866106113,TRUE,0.05
"42","b_erapresent",0.82244235450855,3289.7694180342,TRUE,0.05
"43","sigma",0.675410594338894,2701.64237735558,TRUE,0.05
"44","lp__",0.495025588508952,1980.10235403581,TRUE,0.05
"45","b_Intercept",0.820741215215833,3282.96486086333,TRUE,0.5
"46","b_erapresent",0.823688831293202,3294.75532517281,TRUE,0.5
"47","sigma",0.87609529733333,3504.38118933332,TRUE,0.5
"48","lp__",0.485520267570626,1942.0810702825,TRUE,0.5
