"",".rownames","elpd_diff","se_diff","elpd_waic","se_elpd_waic","p_waic","se_p_waic","waic","se_waic","waic_diff","waic_diff_se","pooling","description","truncate","quantile"
"1","bx123",0,0,202.217186080761,26.5415583865384,30.5201654335411,2.31081265714172,-404.434372161522,53.0831167730769,0,0,"Partially pooled","Sampling design",FALSE,NA
"2","bx1",-0.545790571748056,0.708942595870581,201.671395509013,26.4847200173956,31.0261882735307,2.34753373245365,-403.342791018026,52.9694400347912,1.09158114349611,1.41788519174116,"Partially pooled","Sampling design, density, tidal height",FALSE,NA
"3","bx123p",-127.470551307044,15.212414502722,74.7466347737174,24.4384220758929,6.81210680397934,0.383323690597471,-149.493269547435,48.8768441517859,254.941102614087,30.424829005444,"Completely pooled","Density, tidal height",FALSE,NA
"4","bx1p",-211.793730059322,19.6751014046637,-9.57654397856069,22.7896113482732,2.96233489529029,0.158242255906395,19.1530879571214,45.5792226965464,423.587460118643,39.3502028093273,"Completely pooled","No ecological context",FALSE,NA
"5","bx123",0,0,250.079896358164,25.0545402379443,31.1098638974795,2.37936067928671,-500.159792716327,50.1090804758887,0,0,"Partially pooled","Sampling design",TRUE,0
"6","bx1",-0.0482940246313463,0.695102387186849,250.031602333532,24.9699759200216,31.3408534514875,2.4366547906142,-500.063204667065,49.9399518400432,0.0965880492626926,1.3902047743737,"Partially pooled","Sampling design, density, tidal height",TRUE,0
"7","bx123p",-130.5001927179,15.6372454707129,119.579703640264,22.9930943987327,6.7547857270722,0.362166906525423,-239.159407280527,45.9861887974655,261.0003854358,31.2744909414258,"Completely pooled","Density, tidal height",TRUE,0
"8","bx1p",-219.890757713428,20.5405275711235,30.1891386447363,21.6814189706088,2.89972843106289,0.149812299675702,-60.3782772894725,43.3628379412177,439.781515426855,41.0810551422471,"Completely pooled","No ecological context",TRUE,0
"9","bx123",0,0,429.515115333111,22.1044469366243,28.3253213719252,2.35607459563474,-859.030230666223,44.2088938732485,0,0,"Partially pooled","Sampling design",TRUE,0.1
"10","bx1",-0.0851890056346465,0.815322057191377,429.429926327477,21.9811414832588,28.2053520429881,2.3583181845672,-858.859852654955,43.9622829665175,0.170378011269293,1.63064411438275,"Partially pooled","Sampling design, density, tidal height",TRUE,0.1
"11","bx123p",-126.534558153585,17.3143837748621,302.980557179527,21.380951325285,6.62971090819153,0.410655178403573,-605.961114359054,42.7619026505701,253.069116307169,34.6287675497241,"Completely pooled","Density, tidal height",TRUE,0.1
"12","bx1p",-191.015713642787,21.5189969394975,238.499401690324,20.6165289490285,3.01144679020368,0.180603900426769,-476.998803380648,41.233057898057,382.031427285575,43.0379938789951,"Completely pooled","No ecological context",TRUE,0.1
"13","bx123",0,0,449.007995014292,21.2295010170718,26.8066441462869,2.18902665526259,-898.015990028583,42.4590020341436,0,0,"Partially pooled","Sampling design",TRUE,0.15
"14","bx1",-0.502646455914861,1.00810743017179,448.505348558375,21.1422556331529,26.8299310741793,2.26300536791617,-897.01069711675,42.2845112663057,1.00529291182972,2.01621486034357,"Partially pooled","Sampling design, density, tidal height",TRUE,0.15
"15","bx123p",-130.936259144649,17.9571274686831,318.071735869641,20.5267358382406,6.58710202086906,0.409866377859048,-636.143471739283,41.0534716764811,261.872518289299,35.9142549373662,"Completely pooled","Density, tidal height",TRUE,0.15
"16","bx1p",-179.763233522446,21.4243561049106,269.244761491845,20.2042856663413,2.95107597844771,0.196224314139544,-538.489522983691,40.4085713326827,359.526467044891,42.8487122098212,"Completely pooled","No ecological context",TRUE,0.15
"17","bx123",0,0,442.017496438461,20.8213501973036,26.083127813827,2.2683144878634,-884.034992876921,41.6427003946072,0,0,"Partially pooled","Sampling design",TRUE,0.2
"18","bx1",-0.434513163943999,1.0657746740817,441.582983274515,20.76584857537,25.9943407377436,2.26707808077357,-883.16596654903,41.53169715074,0.869026327887998,2.13154934816341,"Partially pooled","Sampling design, density, tidal height",TRUE,0.2
"19","bx123p",-128.256003555981,18.1194920521834,313.76149288248,20.2476923808663,6.36016903847056,0.408541637835041,-627.522985764959,40.4953847617326,256.512007111961,36.2389841043668,"Completely pooled","Density, tidal height",TRUE,0.2
"20","bx1p",-167.265360881937,20.9807242406716,274.752135556524,19.8271689108471,2.95833905251697,0.218341854180062,-549.504271113047,39.6543378216942,334.530721763875,41.9614484813433,"Completely pooled","No ecological context",TRUE,0.2
"21","bx123",0,0,422.758014814966,19.7352451824759,22.0687477073189,1.77110197745838,-845.516029629931,39.4704903649518,0,0,"Partially pooled","Sampling design",TRUE,0.25
"22","bx1",-1.40291166931843,0.961788531037039,421.355103145646,19.6820934951553,22.6491413262127,1.95612778138928,-842.710206291293,39.3641869903106,2.80582333863686,1.92357706207408,"Partially pooled","Sampling design, density, tidal height",TRUE,0.25
"23","bx123p",-135.463237284934,18.6641316962877,287.29477753003,19.0384030930711,6.04087189238759,0.428884969527195,-574.589555060061,38.0768061861422,270.926474569869,37.3282633925755,"Completely pooled","Density, tidal height",TRUE,0.25
"24","bx1p",-153.392599937969,20.5400752263856,269.365414876996,18.822399824013,2.90774197011678,0.25341998215339,-538.730829753993,37.6447996480259,306.785199875937,41.0801504527713,"Completely pooled","No ecological context",TRUE,0.25
"25","bx123",0,0,409.294300666328,19.3693269935408,21.3542514858076,1.73616836106129,-818.588601332655,38.7386539870817,0,0,"Partially pooled","Sampling design",TRUE,0.3
"26","bx1",-1.18772829512388,1.11226452353524,408.106572371204,19.2477888371549,21.7164168931466,1.92609792997787,-816.213144742408,38.4955776743098,2.37545659024776,2.22452904707047,"Partially pooled","Sampling design, density, tidal height",TRUE,0.3
"27","bx123p",-127.953943193609,18.0878241974862,281.340357472719,18.1931280784053,5.77926256826732,0.435707252657963,-562.680714945438,36.3862561568105,255.907886387218,36.1756483949724,"Completely pooled","Density, tidal height",TRUE,0.3
"28","bx1p",-140.918250561479,19.8652760216623,268.376050104849,18.2027177592374,2.95593437340678,0.269366855826184,-536.752100209699,36.4054355184748,281.836501122958,39.7305520433246,"Completely pooled","No ecological context",TRUE,0.3
